obs_wl_vac(nm),ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),fik,S(a.u.),log_gf,Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,column_23
"=""841.4026""","=""841.4025""","=""0.0005""","=""60""","=""""","=""""","=""""","=""""",,"=""5.3622344""","=""6.8357764""","=""5p2.(3P).6s""","=""4P""","=""1/2""","=""5p2.(3P<1>).6p""","=""(1,1/2)*""","=""3/2""",2,4,,"=""""","=""L10083""",
"=""857.4897""","=""857.4893""","=""0.0005""","=""150""","=""""","=""""","=""""","=""""",,"=""5.8261487""","=""7.2720466""","=""5p2.(3P).6s""","=""2P""","=""1/2""","=""5p2.(3P<2>).6p""","=""(2,3/2)*""","=""1/2""",2,2,,"=""""","=""L10083""",
"=""862.1839""","=""862.1839""","=""0.0005""","=""100""","=""""","=""""","=""""","=""""",,"=""5.8261487""","=""7.2641737""","=""5p2.(3P).6s""","=""2P""","=""1/2""","=""5p2.(3P<2>).6p""","=""(2,3/2)*""","=""3/2""",2,4,,"=""""","=""L10083""",
"=""868.4881""","=""868.4880""","=""0.0005""","=""30w""","=""""","=""""","=""""","=""""",,"=""6.6260834""","=""8.0536702""","=""5p2.(3P).5d""","=""4P""","=""5/2""","=""5p2.(1D<2>).6p""","=""(2,3/2)*""","=""7/2""",6,8,,"=""""","=""L10083""",
"=""913.4688""","=""913.4688""","=""0.0006""","=""30""","=""""","=""""","=""""","=""""",,"=""5.3622344""","=""6.7195242""","=""5p2.(3P).6s""","=""4P""","=""1/2""","=""5p2.(3P<1>).6p""","=""(1,1/2)*""","=""1/2""",2,2,,"=""""","=""L10083""",
"=""952.1032""","=""952.1032""","=""0.0006""","=""400""","=""""","=""""","=""""","=""""",,"=""5.9924568""","=""7.2946707""","=""5p2.(3P).6s""","=""4P""","=""5/2""","=""5p2.(3P<2>).6p""","=""(2,3/2)*""","=""5/2""",6,6,,"=""""","=""L10083""",
"=""986.9462""","=""986.9465""","=""0.0007""","=""30""","=""""","=""""","=""""","=""""",,"=""6.4070616""","=""7.6633019""","=""5p2.(3P<0>).6p""","=""(0,1/2)*""","=""1/2""","=""5p2.(3P).5d""","=""2D""","=""3/2""",2,4,,"=""""","=""L10083""",
"=""995.1718""","=""995.1716""","=""0.0007""","=""400""","=""""","=""""","=""""","=""""",,"=""5.6964962""","=""6.9423536""","=""5p2.(3P).6s""","=""4P""","=""3/2""","=""5p2.(3P<1>).6p""","=""(1,3/2)*""","=""1/2""",4,2,,"=""""","=""L10083""",
"=""1008.1166""","=""1008.1165""","=""0.0007""","=""200""","=""""","=""""","=""""","=""""",,"=""5.6964962""","=""6.9263559""","=""5p2.(3P).6s""","=""4P""","=""3/2""","=""5p2.(3P<1>).6p""","=""(1,3/2)*""","=""3/2""",4,4,,"=""""","=""L10083""",
"=""1026.3661""","=""1026.3661""","=""0.0007""","=""300""","=""""","=""""","=""""","=""""",,"=""5.9924568""","=""7.2004488""","=""5p2.(3P).6s""","=""4P""","=""5/2""","=""5p2.(3P<2>).6p""","=""(2,1/2)*""","=""3/2""",6,4,,"=""""","=""L10083""",
"=""1036.7005""","=""1036.6997""","=""0.0008""","=""50""","=""""","=""""","=""""","=""""",,"=""6.8480146""","=""8.0439656""","=""5p2.(1D).6s""","=""2D""","=""3/2""","=""5p2.(1D<2>).6p""","=""(2,3/2)*""","=""5/2""",4,6,,"=""""","=""L10083""",
"=""1049.12""","=""""","=""""","=""50w""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L7406""",
