Configuration,Term,J,g,Prefix,Level (cm-1),Suffix,Uncertainty (cm-1),Lande,Leading percentages,Reference
"=""5s2.5p4.(3P<2>).7p""","=""2[3]*""","=""7/2""",8,"=""""","=""75193.8973""","=""""","=""0.0017""","=""1.42""","=""  90                                 :    10  5s2.5p4.(1D<2>).7p  2[3]* ""","=""L3674,L368,u56"""
"=""5s2.5p4.(3P<2>).7p""","=""2[1]*""","=""1/2""",2,"=""""","=""75302.9060""","=""""","=""0.0015""","=""1.53""","=""  86                                 :    10  5s2.5p4.(1D<2>).7p  2[1]* ""","=""L3674,L368,u56"""
"=""5s2.5p4.(3P<2>).7p""","=""2[1]*""","=""3/2""",4,"=""""","=""75621.2694""","=""""","=""0.0013""","=""1.483""","=""  50                                 :    37  5s2.5p4.(3P<2>).7p  2[2]* ""","=""L3674,L368,u56"""
"=""5s2.5p4.(3P<2>).6d""","=""2[3]""","=""7/2""",8,"=""""","=""75510.9743""","=""""","=""0.0020""","=""1.320""","=""  68                                 :    16  5s2.5p4.(3P<2>).6d  2[4]  ""","=""L3674,L368,u56"""
"=""5s2.5p4.(3P<2>).6d""","=""2[3]""","=""5/2""",6,"=""""","=""76106.3914""","=""""","=""0.0020""","=""""","=""  49  5s2.5p4.(3P<1>).5d 2[2]        :    17  5s2.5p4.(3P<2>).6d  2[2]  ""","=""L3674,u56"""
"=""5s2.5p4.(3P<2>).6d""","=""2[4]""","=""9/2""",10,"=""""","=""75703.9375""","=""""","=""0.0031""","=""1.338""","=""  89                                 :    10  5s2.5p4.(1D<2>).6d  2[4]  ""","=""L3674,L368,u56"""
"=""5s2.5p4.(3P<2>).6d""","=""2[4]""","=""7/2""",8,"=""""","=""76004.5671""","=""""","=""0.0020""","=""""","=""  71                                 :    12  5s2.5p4.(3P<2>).6d  2[3]  ""","=""L3674,u56"""
"=""5s2.5p4.(3P<2>).6d""","=""2[0]""","=""1/2""",2,"=""""","=""75714.2677""","=""""","=""0.0023""","=""""","=""  77  5s2.5p4.(3P<2>).6d 2[1]        :    11  5s2.5p4.(1D<2>).6d  2[1]  ""","=""L3674,u56"""
"=""5s2.5p4.(3P<1>).5d""","=""2[2]""","=""3/2""",4,"=""""","=""75823.7462""","=""""","=""0.0022""","=""1.41""","=""  60  5s2.5p4.(3P<2>).6d 2[1]        :    14  5s2.5p4.(3P<1>).5d  2[2]  ""","=""L3674,L368,u56"""
"=""5s2.5p4.(3P<1>).5d""","=""2[2]""","=""5/2""",6,"=""""","=""75898.7307""","=""""","=""0.0019""","=""1.14""","=""  45  5s2.5p4.(3P<2>).6d 2[2]        :    25  5s2.5p4.(3P<0>).5d  2[2]  ""","=""L3674,L368,u56"""
"=""5s2.5p4.(3P<2>).6d""","=""2[1]""","=""3/2""",4,"=""""","=""76136.2488""","=""""","=""0.0019""","=""1.04""","=""  46  5s2.5p4.(3P<2>).6d 2[2]        :    33  5s2.5p4.(3P<1>).5d  2[1]  ""","=""L3674,L368,u56"""
"=""5s2.5p4.(3P<2>).6d""","=""2[1]""","=""1/2""",2,"=""""","=""76417.6231""","=""""","=""0.0018""","=""""","=""  71  5s2.5p4.(3P<2>).6d 2[0]        :     8  5s2.5p4.(1D<2>).5d  2[0]  ""","=""L3674,u56"""
"=""5s2.5p4.(3P<2>).6d""","=""2[2]""","=""3/2""",4,"=""""","=""76746.7844""","=""""","=""0.0020""","=""""","=""  24  5s2.5p4.(3P<1>).5d 2[2]        :    23  5s2.5p4.(3P<2>).6d  2[1]  ""","=""L3674,u56"""
"=""5s2.5p4.(3P<2>).6d""","=""2[2]""","=""5/2""",6,"=""""","=""76903.0932""","=""""","=""0.0021""","=""""","=""  19  5s2.5p4.(3P<1>).5d 2[3]        :    27  5s2.5p4.(3P<2>).6d  2[3]  ""","=""L3674,u56"""
"=""5s2.5p4.(3P<2>).4f""","=""2[4]*""","=""9/2""",10,"=""""","=""77306.3948""","=""""","=""0.0021""","=""""","=""  90                                 :    10  5s2.5p4.(1D<2>).4f  2[4]* ""","=""L3674,u56"""
"=""5s2.5p4.(3P<2>).4f""","=""2[4]*""","=""7/2""",8,"=""""","=""77307.1197""","=""""","=""0.0025""","=""""","=""  66                                 :    22  5s2.5p4.(3P<2>).4f  2[3]* ""","=""L3674,u56"""
"=""5s2.5p4.(3P<2>).4f""","=""2[3]*""","=""5/2""",6,"=""""","=""77307.1471""","=""""","=""0.0024""","=""""","=""  89                                 :     9  5s2.5p4.(1D<2>).4f  2[3]* ""","=""L3674,u56"""
"=""5s2.5p4.(3P<2>).4f""","=""2[3]*""","=""7/2""",8,"=""""","=""77313.2986""","=""""","=""0.0021""","=""""","=""  67                                 :    23  5s2.5p4.(3P<2>).4f  2[4]* ""","=""L3674,u56"""
