obs_wl_vac(nm),ritz_wl_vac(nm),intens,Aki(s^-1),fik,S(a.u.),log_gf,Acc,Ei(eV),Ek(eV),Type,tp_ref,line_ref,column_14
"=""754.953""","=""""","=""10000""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""u1""",
"=""756.658""","=""""","=""10000""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""u1""",
"=""757.395""","=""""","=""10000""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""u1""",
"=""757.501""","=""""","=""10000""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""u1""",
"=""761.186""","=""""","=""10000""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""u1""",
"=""769.152""","=""""","=""10000""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""u1""",
"=""776.033""","=""""","=""10000""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""u1""",
"=""780.069""","=""""","=""10000""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""u1""",
"=""795.536""","=""""","=""10000""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""u1""",
"=""810.477""","=""""","=""10000""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""u1""",
"=""813.310""","=""""","=""10000""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""u1""",
"=""831.189""","=""""","=""10000""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""u1""",
"=""843.779""","=""""","=""10000""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""u1""",
"=""847.846""","=""""","=""10000""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""u1""",
"=""859.962""","=""""","=""10000""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""u1""",
"=""866.740""","=""""","=""10000""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""u1""",
"=""869.433""","=""""","=""10000""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""u1""",
"=""873.222""","=""""","=""3000""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""u1""",
"=""883.859""","=""""","=""3000""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""u1""",
"=""953.568""","=""""","=""3000""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""u1""",
"=""1004.950""","=""""","=""3000""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""u1""",
"=""1111.786""","=""""","=""3000""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""u1""",
"=""1214.778""","=""""","=""3000""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""u1""",
"=""1223.457""","=""""","=""3000""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""u1""",
"=""1538.151""","=""""","=""3000""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""u1""",
"=""1690.200""","=""""","=""3000""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""u1""",
