property,value,unit,energy,particle_or_photon,isotope,transition,process,source,source_url,retrieved_at,notes,experimental_energy_ev,theoretical_energy_ev
mass_energy_absorption_coefficient,55.83,cm²/g,0.015 MeV,fotón,natural,,absorción de energía,NIST X-Ray Mass Attenuation Coefficients,https://physics.nist.gov/PhysRefData/XrayMassCoef/ElemTab/z89.html,2026-07-24T20:02:08+00:00,Tabla elemental NIST.,,
mass_attenuation_coefficient,52.13,cm²/g,0.015871 MeV,fotón,natural,,atenuación total,NIST X-Ray Mass Attenuation Coefficients,https://physics.nist.gov/PhysRefData/XrayMassCoef/ElemTab/z89.html,2026-07-24T20:02:08+00:00,Tabla elemental NIST.,,
mass_energy_absorption_coefficient,48.23,cm²/g,0.015871 MeV,fotón,natural,,absorción de energía,NIST X-Ray Mass Attenuation Coefficients,https://physics.nist.gov/PhysRefData/XrayMassCoef/ElemTab/z89.html,2026-07-24T20:02:08+00:00,Tabla elemental NIST.,,
mass_attenuation_coefficient,0.015871,cm²/g,3 MeV,fotón,natural,L3,atenuación total,NIST X-Ray Mass Attenuation Coefficients,https://physics.nist.gov/PhysRefData/XrayMassCoef/ElemTab/z89.html,2026-07-24T20:02:08+00:00,Tabla elemental NIST; borde de absorción L3.,,
mass_energy_absorption_coefficient,121.4,cm²/g,3 MeV,fotón,natural,L3,absorción de energía,NIST X-Ray Mass Attenuation Coefficients,https://physics.nist.gov/PhysRefData/XrayMassCoef/ElemTab/z89.html,2026-07-24T20:02:08+00:00,Tabla elemental NIST; borde de absorción L3.,,
mass_attenuation_coefficient,104.2,cm²/g,0.0174031 MeV,fotón,natural,,atenuación total,NIST X-Ray Mass Attenuation Coefficients,https://physics.nist.gov/PhysRefData/XrayMassCoef/ElemTab/z89.html,2026-07-24T20:02:08+00:00,Tabla elemental NIST.,,
mass_energy_absorption_coefficient,73.5,cm²/g,0.0174031 MeV,fotón,natural,,absorción de energía,NIST X-Ray Mass Attenuation Coefficients,https://physics.nist.gov/PhysRefData/XrayMassCoef/ElemTab/z89.html,2026-07-24T20:02:08+00:00,Tabla elemental NIST.,,
mass_attenuation_coefficient,74.26,cm²/g,0.0190832 MeV,fotón,natural,,atenuación total,NIST X-Ray Mass Attenuation Coefficients,https://physics.nist.gov/PhysRefData/XrayMassCoef/ElemTab/z89.html,2026-07-24T20:02:08+00:00,Tabla elemental NIST.,,
mass_energy_absorption_coefficient,58.65,cm²/g,0.0190832 MeV,fotón,natural,,absorción de energía,NIST X-Ray Mass Attenuation Coefficients,https://physics.nist.gov/PhysRefData/XrayMassCoef/ElemTab/z89.html,2026-07-24T20:02:08+00:00,Tabla elemental NIST.,,
mass_attenuation_coefficient,0.0190832,cm²/g,2 MeV,fotón,natural,L2,atenuación total,NIST X-Ray Mass Attenuation Coefficients,https://physics.nist.gov/PhysRefData/XrayMassCoef/ElemTab/z89.html,2026-07-24T20:02:08+00:00,Tabla elemental NIST; borde de absorción L2.,,
mass_energy_absorption_coefficient,103.6,cm²/g,2 MeV,fotón,natural,L2,absorción de energía,NIST X-Ray Mass Attenuation Coefficients,https://physics.nist.gov/PhysRefData/XrayMassCoef/ElemTab/z89.html,2026-07-24T20:02:08+00:00,Tabla elemental NIST; borde de absorción L2.,,
mass_attenuation_coefficient,107.9,cm²/g,0.0194579 MeV,fotón,natural,,atenuación total,NIST X-Ray Mass Attenuation Coefficients,https://physics.nist.gov/PhysRefData/XrayMassCoef/ElemTab/z89.html,2026-07-24T20:02:08+00:00,Tabla elemental NIST.,,
mass_energy_absorption_coefficient,71.33,cm²/g,0.0194579 MeV,fotón,natural,,absorción de energía,NIST X-Ray Mass Attenuation Coefficients,https://physics.nist.gov/PhysRefData/XrayMassCoef/ElemTab/z89.html,2026-07-24T20:02:08+00:00,Tabla elemental NIST.,,
mass_attenuation_coefficient,94.03,cm²/g,0.01984 MeV,fotón,natural,,atenuación total,NIST X-Ray Mass Attenuation Coefficients,https://physics.nist.gov/PhysRefData/XrayMassCoef/ElemTab/z89.html,2026-07-24T20:02:08+00:00,Tabla elemental NIST.,,
mass_energy_absorption_coefficient,68.31,cm²/g,0.01984 MeV,fotón,natural,,absorción de energía,NIST X-Ray Mass Attenuation Coefficients,https://physics.nist.gov/PhysRefData/XrayMassCoef/ElemTab/z89.html,2026-07-24T20:02:08+00:00,Tabla elemental NIST.,,
mass_attenuation_coefficient,0.01984,cm²/g,1 MeV,fotón,natural,L1,atenuación total,NIST X-Ray Mass Attenuation Coefficients,https://physics.nist.gov/PhysRefData/XrayMassCoef/ElemTab/z89.html,2026-07-24T20:02:08+00:00,Tabla elemental NIST; borde de absorción L1.,,
mass_energy_absorption_coefficient,108.2,cm²/g,1 MeV,fotón,natural,L1,absorción de energía,NIST X-Ray Mass Attenuation Coefficients,https://physics.nist.gov/PhysRefData/XrayMassCoef/ElemTab/z89.html,2026-07-24T20:02:08+00:00,Tabla elemental NIST; borde de absorción L1.,,
mass_attenuation_coefficient,106.2,cm²/g,0.02 MeV,fotón,natural,,atenuación total,NIST X-Ray Mass Attenuation Coefficients,https://physics.nist.gov/PhysRefData/XrayMassCoef/ElemTab/z89.html,2026-07-24T20:02:08+00:00,Tabla elemental NIST.,,
