obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),fik,S(a.u.),log_gf,Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,column_24
"=""""","=""""","=""821.4047""","=""0.0004""","=""""","=""2.28e+05""","=""2.31e-03""","=""3.74e-01""","=""-1.859""",C,"=""5.9334881""","=""7.4429049""","=""2s.2p2""","=""2D""","=""5/2""","=""2s2.4f""","=""2F*""","=""5/2""",6,6,,"=""T7192""","=""""",
"=""821.409""","=""0.005""","=""821.4043""","=""0.0004""","=""60""","=""3.4e+06""","=""4.6e-02""","=""7.5e+00""","=""-0.56""",C,"=""5.9334881""","=""7.4429055""","=""2s.2p2""","=""2D""","=""5/2""","=""2s2.4f""","=""2F*""","=""7/2""",6,8,,"=""T7192""","=""L694""",
"=""821.430""","=""0.005""","=""821.4260""","=""0.0004""","=""50""","=""3.20e+06""","=""4.85e-02""","=""5.24e+00""","=""-0.713""",C,"=""5.9335273""","=""7.4429049""","=""2s.2p2""","=""2D""","=""3/2""","=""2s2.4f""","=""2F*""","=""5/2""",4,6,,"=""T7192""","=""L694""",
"=""866.9604""","=""0.0010""","=""866.9607""","=""0.0007""","=""4""","=""1.84e+06""","=""2.07e-02""","=""1.18e+00""","=""-1.38""",B,"=""6.0271033""","=""7.4572049""","=""2s2.3p""","=""2P*""","=""1/2""","=""2s2.5s""","=""2S""","=""1/2""",2,2,,"=""T7192""","=""L776""",
"=""867.0951""","=""0.0010""","=""867.0947""","=""0.0007""","=""8""","=""3.67e+06""","=""2.07e-02""","=""2.36e+00""","=""-1.083""",B,"=""6.0273243""","=""7.4572049""","=""2s2.3p""","=""2P*""","=""3/2""","=""2s2.5s""","=""2S""","=""1/2""",4,2,,"=""T7192""","=""L776""",
"=""""","=""""","=""878.612""","=""0.010""","=""""","=""2.8e+02""","=""6.6e-06""","=""3.8e-04""","=""-4.88""",D,"=""6.0271033""","=""7.438240""","=""2s2.3p""","=""2P*""","=""1/2""","=""2s2.4d""","=""2D""","=""3/2""",2,4,,"=""T7192""","=""""",
"=""""","=""""","=""878.750""","=""0.010""","=""""","=""3.4e+02""","=""5.9e-06""","=""6.8e-04""","=""-4.63""",D,"=""6.0273243""","=""7.438240""","=""2s2.3p""","=""2P*""","=""3/2""","=""2s2.4d""","=""2D""","=""5/2""",4,6,,"=""T7192""","=""""",
"=""""","=""""","=""878.750""","=""0.010""","=""""","=""5.7e+01""","=""6.6e-07""","=""7.6e-05""","=""-5.58""",D,"=""6.0273243""","=""7.438240""","=""2s2.3p""","=""2P*""","=""3/2""","=""2s2.4d""","=""2D""","=""3/2""",4,4,,"=""T7192""","=""""",
"=""""","=""""","=""957.883""","=""0.005""","=""""","=""5.00e+05""","=""1.03e-02""","=""1.30e+00""","=""-1.38""",C+,"=""6.79032869""","=""8.084685""","=""2s2.3d""","=""2D""","=""3/2""","=""2s2.8f""","=""2F*""","=""5/2""",4,6,,"=""u27""","=""""",
"=""""","=""""","=""957.896""","=""0.005""","=""""","=""5.36e+05""","=""9.83e-03""","=""1.86e+00""","=""-1.229""",C+,"=""6.7903466""","=""8.084685""","=""2s2.3d""","=""2D""","=""5/2""","=""2s2.8f""","=""2F*""","=""7/2""",6,8,,"=""u27""","=""""",
"=""""","=""""","=""957.896""","=""0.005""","=""""","=""3.58e+04""","=""4.93e-04""","=""9.32e-02""","=""-2.529""",C+,"=""6.7903466""","=""8.084685""","=""2s2.3d""","=""2D""","=""5/2""","=""2s2.8f""","=""2F*""","=""5/2""",6,6,,"=""u27""","=""""",
