obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),intens,Aki(s^-1),fik,S(a.u.),log_gf,Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,column_23
"=""486.4292""","=""0.0005""","=""486.4292+""","=""70""","=""1.07e+06""","=""3.8e-03""","=""8.5e-01""","=""-1.27""",B+,"=""2.1641216""","=""4.7129859""","=""4f12.(3H<6>).5d<3/2>.6s2""","=""(6,3/2)""","=""13/2""","=""4f12.5d.6s.6p""","=""*""","=""13/2""",14,14,,"=""T6708""","=""L2006""",
"=""487.1727""","=""0.0005""","=""487.1726+""","=""490""","=""1.25e+07""","=""6.7e-02""","=""4.28e+00""","=""-0.573""",B+,"=""2.3720961""","=""4.9170710""","=""4f13.(2F*<7/2>).6s.6p.(3P*<2>)""","=""(7/2,2)""","=""3/2""","=""4f13.(2F*<7/2>).6s.6d.(3D)""","=""3[7/2]*""","=""5/2""",4,6,,"=""T6708""","=""L2006""",
"=""488.0557""","=""0.0005""","=""488.0585+""","=""270*""","=""3.8e+04""","=""1.8e-04""","=""1.73e-02""","=""-2.97""",C+,"=""1.0874955""","=""3.627851""","=""4f13.(2F*).6s2""","=""2F*""","=""5/2""","=""4f12.(3F<3>).5d<3/2>.6s2""","=""""","=""7/2""",6,8,,"=""T6708""","=""L2006,L3475""",
"=""488.0557""","=""0.0005""","=""488.0556+""","=""270*""","=""5.8e+06""","=""2.08e-02""","=""4.01e+00""","=""-0.60""",B+,"=""2.3545103""","=""4.8948804""","=""4f13.(2F*<7/2>).6s.6p.(3P*<2>)""","=""(7/2,2)""","=""11/2""","=""4f13.(2F*<7/2>).6s.6d.(3D)""","=""3[9/2]*""","=""11/2""",12,12,,"=""T6708""","=""L2006,L3475""",
"=""488.5039""","=""0.0005""","=""488.5041+""","=""490""","=""1.66e+07""","=""5.9e-02""","=""3.82e+00""","=""-0.62""",B+,"=""2.3720961""","=""4.9101341""","=""4f13.(2F*<7/2>).6s.6p.(3P*<2>)""","=""(7/2,2)""","=""3/2""","=""4f13.(2F*<7/2>).6s.6d.(3D)""","=""3[3/2]*""","=""3/2""",4,4,,"=""T6708""","=""L2006""",
"=""488.5627""","=""0.0005""","=""488.5630+""","=""24""","=""1.00e+06""","=""3.0e-03""","=""5.8e-01""","=""-1.45""",C,"=""2.3375761""","=""4.8753084""","=""4f12.(3H<6>).5d<5/2>.6s2""","=""(6,5/2)""","=""11/2""","=""4f13.(2F*<7/2>).6s.6d.(3D)""","=""3[7/2]*""","=""9/2""",12,10,,"=""T6708""","=""L2006""",
"=""488.8711""","=""0.0005""","=""488.8706+""","=""26""","=""2.1e+06""","=""9.5e-03""","=""1.22e+00""","=""-1.12""",C+,"=""2.6186499""","=""5.1547851""","=""4f12.(3F<4>).5d<3/2>.6s2""","=""(4,3/2)""","=""7/2""","=""4f12.5d.6s.6p""","=""*""","=""9/2""",8,10,,"=""T6708""","=""L2006""",
"=""489.3006""","=""0.0005""","=""489.3033+""","=""270""","=""""","=""""","=""""","=""""",,"=""3.0274484""","=""5.5613410""","=""4f13.(2F*<7/2>).6s.6p.(1P*<1>)""","=""(7/2,1)""","=""5/2""","=""4f13.(2F*<7/2>).6p2.(3P<2>)""","=""*""","=""5/2""",6,6,,"=""""","=""L2006,L3475""",
"=""490.1048""","=""0.0005""","=""490.1047+""","=""12""","=""1.67e+05""","=""6.9e-04""","=""1.55e-01""","=""-2.02""",C+,"=""2.1641216""","=""4.693871""","=""4f12.(3H<6>).5d<3/2>.6s2""","=""(6,3/2)""","=""13/2""","=""4f12.(3H<6>).5d.6s.6p.(4D*<7/2>)""","=""(6,7/2)*""","=""15/2""",14,16,,"=""T6708""","=""L2006""",
"=""491.1107""","=""0.0005""","=""491.1107+""","=""240""","=""1.64e+06""","=""6.7e-03""","=""1.73e+00""","=""-0.97""",B+,"=""1.8933629""","=""4.417930""","=""4f12.(3H<6>).5d<3/2>.6s2""","=""(6,3/2)""","=""15/2""","=""4f12.(3H<6>) .5d.(2D).6s.6p.(3P*?) (2D*<5/2>)""","=""(6,5/2)*""","=""17/2""",16,18,,"=""T6708""","=""L2006,L3475""",
"=""491.8458""","=""0.0005""","=""491.8450+""","=""49""","=""1.98e+06""","=""6.0e-03""","=""1.16e+00""","=""-1.14""",B,"=""2.3545103""","=""4.8753084""","=""4f13.(2F*<7/2>).6s.6p.(3P*<2>)""","=""(7/2,2)""","=""11/2""","=""4f13.(2F*<7/2>).6s.6d.(3D)""","=""3[7/2]*""","=""9/2""",12,10,,"=""T6708""","=""L2006""",
"=""492.5201""","=""0.0005""","=""492.5199+""","=""550""","=""1.77e+07""","=""7.5e-02""","=""1.46e+01""","=""-0.045""",B+,"=""2.3375761""","=""4.854920""","=""4f12.(3H<6>).5d<5/2>.6s2""","=""(6,5/2)""","=""11/2""","=""4f13.(2F*<7/2>).6s.6d.(3D)""","=""3[11/2]*""","=""13/2""",12,14,,"=""T6708""","=""L2006,L3475""",
"=""492.9108""","=""0.0005""","=""492.9106+""","=""500""","=""1.63e+07""","=""5.9e-02""","=""3.86e+00""","=""-0.624""",B+,"=""2.3720961""","=""4.887445""","=""4f13.(2F*<7/2>).6s.6p.(3P*<2>)""","=""(7/2,2)""","=""3/2""","=""4f13.(2F*<7/2>).6s.6d.(3D)""","=""3[5/2]*""","=""3/2""",4,4,,"=""T6708""","=""L2006""",
"=""493.7258""","=""0.0005""","=""493.7253+""","=""50""","=""1.21e+06""","=""3.7e-03""","=""7.2e-01""","=""-1.35""",B,"=""2.3545103""","=""4.8657083""","=""4f13.(2F*<7/2>).6s.6p.(3P*<2>)""","=""(7/2,2)""","=""11/2""","=""4f12.5d.6s.6p""","=""*""","=""9/2""",12,10,,"=""T6708""","=""L2006""",
"=""494.0132""","=""0.0005""","=""494.0132+""","=""3""","=""1.4e+05""","=""4.5e-04""","=""1.0e-01""","=""-2.20""",D+,"=""2.4135586""","=""4.9232932""","=""4f12.(3H<6>).5d<5/2>.6s2""","=""(6,5/2)""","=""13/2""","=""4f12.5d.6s.6p""","=""*""","=""11/2""",14,12,,"=""T6708""","=""L2006""",
"=""494.9734""","=""0.0005""","=""494.9733+""","=""240""","=""1.87e+06""","=""5.9e-03""","=""1.34e+00""","=""-1.08""",B+,"=""2.1641216""","=""4.6689880""","=""4f12.(3H<6>).5d<3/2>.6s2""","=""(6,3/2)""","=""13/2""","=""4f12.5d.6s.6p""","=""*""","=""11/2""",14,12,,"=""T6708""","=""L2006""",
"=""495.1226""","=""0.0005""","=""495.1228+""","=""12""","=""1.30e+05""","=""4.2e-04""","=""1.25e-01""","=""-2.12""",B,"=""2.0403972""","=""4.5445074""","=""4f12.(3H<6>).5d<5/2>.6s2""","=""(6,5/2)""","=""17/2""","=""4f12.(3H<6>) .5d.(2D).6s.6p.(3P*?) (2D*<3/2>)""","=""(6,3/2)*""","=""15/2""",18,16,,"=""T6708""","=""L2006""",
"=""495.2611""","=""0.0005""","=""495.2611+""","=""2""","=""4.6e+04""","=""1.7e-04""","=""3.9e-02""","=""-2.62""",D+,"=""2.1641216""","=""4.6675322""","=""4f12.(3H<6>).5d<3/2>.6s2""","=""(6,3/2)""","=""13/2""","=""4f12.5d.6s.6p""","=""*""","=""13/2""",14,14,,"=""T6708""","=""L2006""",
"=""495.8558""","=""0.0005""","=""495.8555+""","=""1400""","=""3.50e+07""","=""1.51e-01""","=""2.95e+01""","=""0.257""",B+,"=""2.3545103""","=""4.854920""","=""4f13.(2F*<7/2>).6s.6p.(3P*<2>)""","=""(7/2,2)""","=""11/2""","=""4f13.(2F*<7/2>).6s.6d.(3D)""","=""3[11/2]*""","=""13/2""",12,14,,"=""T6708""","=""L2006,L3475""",
"=""496.1547""","=""0.0005""","=""496.1547+""","=""24""","=""3.4e+05""","=""1.24e-03""","=""2.0e-01""","=""-1.91""",C+,"=""2.1838154""","=""4.6827173""","=""4f13.(2F*<7/2>).6s.6p.(3P*<1>)""","=""(7/2,1)""","=""9/2""","=""4f12.5d.6s.6p""","=""*""","=""9/2""",10,10,,"=""T6708""","=""L2006""",
"=""496.6057""","=""0.0005""","=""496.6061+""","=""19""","=""9.e+05""","=""4.2e-03""","=""6.8e-01""","=""-1.38""",D+,"=""2.6951295""","=""5.1917601""","=""4f12.(3F<4>).5d<3/2>.6s2""","=""(4,3/2)""","=""9/2""","=""4f12.5d.6s.6p""","=""*""","=""11/2""",10,12,,"=""T6708""","=""L2006""",
"=""497.2645""","=""0.0005""","=""497.2646+""","=""270""","=""2.18e+07""","=""8.1e-02""","=""7.9e+00""","=""-0.314""",B+,"=""2.4237465""","=""4.9170710""","=""4f13.(2F*<7/2>).6s.6p.(3P*<2>)""","=""(7/2,2)""","=""5/2""","=""4f13.(2F*<7/2>).6s.6d.(3D)""","=""3[7/2]*""","=""5/2""",6,6,,"=""T6708""","=""L2006,L3475""",
"=""498.0289""","=""0.0005""","=""498.0288+""","=""500""","=""""","=""""","=""""","=""""",,"=""2.4237465""","=""4.9132453""","=""4f13.(2F*<7/2>).6s.6p.(3P*<2>)""","=""(7/2,2)""","=""5/2""","=""4f13.(2F*<7/2>).6s.6d.(3D)""","=""*""","=""7/2""",6,8,,"=""""","=""L2006,L3475""",
"=""498.6521""","=""0.0005""","=""498.6519+""","=""510""","=""1.19e+07""","=""2.96e-02""","=""2.91e+00""","=""-0.75""",B+,"=""2.4237465""","=""4.9101341""","=""4f13.(2F*<7/2>).6s.6p.(3P*<2>)""","=""(7/2,2)""","=""5/2""","=""4f13.(2F*<7/2>).6s.6d.(3D)""","=""3[3/2]*""","=""3/2""",6,4,,"=""T6708""","=""L2006""",
"=""499.0061""","=""0.0005""","=""499.0063+""","=""15""","=""3.6e+05""","=""1.6e-03""","=""2.7e-01""","=""-1.79""",C,"=""2.3355381""","=""4.8201598""","=""4f12.(3H<6>).5d<5/2>.6s2""","=""(6,5/2)""","=""9/2""","=""4f12.5d.6s.6p""","=""*""","=""11/2""",10,12,,"=""T6708""","=""L2006""",
"=""499.4173""","=""0.0005""","=""499.4160+""","=""50""","=""5.6e+05""","=""2.09e-03""","=""4.1e-01""","=""-1.60""",B,"=""2.3375761""","=""4.8201598""","=""4f12.(3H<6>).5d<5/2>.6s2""","=""(6,5/2)""","=""11/2""","=""4f12.5d.6s.6p""","=""*""","=""11/2""",12,12,,"=""T6708""","=""L2006""",
"=""500.2420""","=""0.0005""","=""500.242+""","=""350""","=""""","=""""","=""""","=""""",,"=""2.8197450""","=""5.298229""","=""4f13.(2F*<7/2>).5d.6s.(3D)""","=""3[11/2]*""","=""13/2""","=""4f13.(2F*<7/2>).5d.6p.(3F*<4>)""","=""(7/2,4)""","=""15/2""",14,16,,"=""""","=""L2006,L3475""",
"=""500.2982""","=""0.0005""","=""500.2981+""","=""270""","=""""","=""""","=""""","=""""",,"=""2.4491628""","=""4.9273692""","=""4f13.(2F*<7/2>).6s.6p.(3P*<2>)""","=""(7/2,2)""","=""7/2""","=""4f13.(2F*<7/2>).6s.6d.(1D)""","=""1[9/2]*""","=""9/2""",8,10,,"=""""","=""L2006,L3475""",
"=""502.2523""","=""0.0005""","=""502.252+""","=""240""","=""1.56e+06""","=""5.9e-03""","=""1.37e+00""","=""-1.08""",B+,"=""2.1641216""","=""4.632686""","=""4f12.(3H<6>).5d<3/2>.6s2""","=""(6,3/2)""","=""13/2""","=""4f12.5d.6s.6p""","=""*""","=""13/2""",14,14,,"=""T6708""","=""L2006""",
"=""502.6291""","=""0.0005""","=""502.629+""","=""130""","=""1.03e+06""","=""3.42e-03""","=""9.0e-01""","=""-1.26""",B+,"=""2.3176458""","=""4.784359""","=""4f12.(3H<6>).5d<5/2>.6s2""","=""(6,5/2)""","=""15/2""","=""4f12.5d.6s.6p""","=""*""","=""13/2""",16,14,,"=""T6708""","=""L2006""",
"=""502.8462""","=""0.0005""","=""502.8460+""","=""25""","=""4.5e+05""","=""1.69e-03""","=""3.4e-01""","=""-1.69""",C+,"=""2.3545103""","=""4.8201598""","=""4f13.(2F*<7/2>).6s.6p.(3P*<2>)""","=""(7/2,2)""","=""11/2""","=""4f12.5d.6s.6p""","=""*""","=""11/2""",12,12,,"=""T6708""","=""L2006""",
