obs_wl_vac(nm),ritz_wl_vac(nm),intens,Aki(s^-1),fik,S(a.u.),log_gf,Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,column_22
"=""662.963""","=""662.9625""","=""9""","=""""","=""""","=""""","=""""",,"=""1.985971""","=""3.856126""","=""4d8.(1G).5s""","=""a 2G""","=""9/2""","=""4d8.(3F).5p""","=""z 4G*""","=""7/2""",10,8,,"=""""","=""L3475""",
"=""663.199""","=""663.1973""","=""19""","=""""","=""""","=""""","=""""",,"=""1.833462""","=""3.702954""","=""4d7.5s2""","=""b 4F""","=""7/2""","=""4d8.(3F).5p""","=""z 4F*""","=""7/2""",8,8,,"=""""","=""L3475""",
"=""675.421""","=""675.4201""","=""40""","=""""","=""""","=""""","=""""",,"=""3.356904""","=""5.192565""","=""4d8.(3F).5p""","=""z 4D*""","=""7/2""","=""4d8.(3F).6s""","=""e 4F""","=""9/2""",8,10,,"=""""","=""L3475""",
"=""679.853""","=""679.8549""","=""9""","=""""","=""""","=""""","=""""",,"=""4.380839""","=""6.204525""","=""4d8.(3P).5p""","=""z 4P*""","=""5/2""","=""""","=""9""","=""5/2""",6,6,,"=""""","=""L3475""",
"=""682.921""","=""682.9206""","=""13""","=""""","=""""","=""""","=""""",,"=""1.833462""","=""3.648962""","=""4d7.5s2""","=""b 4F""","=""7/2""","=""4d8.(3F).5p""","=""z 4F*""","=""9/2""",8,10,,"=""""","=""L3475""",
"=""685.957""","=""685.9567""","=""11""","=""""","=""""","=""""","=""""",,"=""3.702954""","=""5.510418""","=""4d8.(3F).5p""","=""z 4F*""","=""7/2""","=""4d8.(3F).6s""","=""e 4F""","=""7/2""",8,8,,"=""""","=""L3475""",
"=""688.184""","=""688.1839""","=""20""","=""""","=""""","=""""","=""""",,"=""2.100726""","=""3.902341""","=""4d7.5s2""","=""b 4F""","=""3/2""","=""4d8.(3F).5p""","=""z 4F*""","=""5/2""",4,6,,"=""""","=""L3475""",
"=""696.759""","=""696.7578""","=""65""","=""4.e+05""","=""2.2e-03""","=""5.e-01""","=""-1.7""",E,"=""1.577460""","=""3.356904""","=""4d7.5s2""","=""b 4F""","=""9/2""","=""4d8.(3F).5p""","=""z 4D*""","=""7/2""",10,8,,"=""T5181""","=""L3475""",
"=""697.483""","=""697.4853""","=""8""","=""""","=""""","=""""","=""""",,"=""3.902341""","=""5.679929""","=""4d8.(3F).5p""","=""z 4F*""","=""5/2""","=""4d8.(3F).6s""","=""e 4F""","=""3/2""",6,4,,"=""""","=""L3475""",
"=""698.107""","=""""","=""16""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L3475""",
"=""700.351""","=""700.3498""","=""16""","=""""","=""""","=""""","=""""",,"=""1.998463""","=""3.768781""","=""4d7.5s2""","=""b 4F""","=""5/2""","=""4d8.(3F).5p""","=""z 4D*""","=""3/2""",6,4,,"=""""","=""L3475""",
"=""704.070""","=""704.0677""","=""11""","=""""","=""""","=""""","=""""",,"=""2.100726""","=""3.861696""","=""4d7.5s2""","=""b 4F""","=""3/2""","=""4d8.(3F).5p""","=""z 4D*""","=""1/2""",4,2,,"=""""","=""L3475""",
"=""710.360""","=""710.3579""","=""18""","=""""","=""""","=""""","=""""",,"=""3.768781""","=""5.514158""","=""4d8.(3F).5p""","=""z 4D*""","=""3/2""","=""4d8.(3F).6s""","=""e 2F""","=""5/2""",4,6,,"=""""","=""L3475""",
"=""710.641""","=""710.6427""","=""15""","=""""","=""""","=""""","=""""",,"=""1.833462""","=""3.578139""","=""4d7.5s2""","=""b 4F""","=""7/2""","=""4d8.(3F).5p""","=""z 4D*""","=""5/2""",8,6,,"=""""","=""L3475""",
"=""714.452""","=""714.4521""","=""6""","=""""","=""""","=""""","=""""",,"=""3.902341""","=""5.637715""","=""4d8.(3F).5p""","=""z 4F*""","=""5/2""","=""4d8.(3F).6s""","=""e 4F""","=""5/2""",6,6,,"=""""","=""L3475""",
"=""722.105""","=""722.1051""","=""9""","=""""","=""""","=""""","=""""",,"=""1.985971""","=""3.702954""","=""4d8.(1G).5s""","=""a 2G""","=""9/2""","=""4d8.(3F).5p""","=""z 4F*""","=""7/2""",10,8,,"=""""","=""L3475""",
"=""727.018""","=""727.0179""","=""18""","=""""","=""""","=""""","=""""",,"=""1.833462""","=""3.538843""","=""4d7.5s2""","=""b 4F""","=""7/2""","=""4d8.(3F).5p""","=""z 4G*""","=""9/2""",8,10,,"=""""","=""L3475""",
