obs_wl_vac(nm),ritz_wl_vac(nm),intens,Aki(s^-1),fik,S(a.u.),log_gf,Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,column_22
"=""643.818""","=""643.8178+""","=""23""","=""3.01e+06""","=""1.53e-02""","=""3.6e+00""","=""-0.77""",B,"=""0.4666775""","=""2.3924429""","=""4f.(2F*) .5d2.(3F).6s (4F)""","=""5I*""","=""5""","=""4f.(2F*).5d2.(3F) (4I*).6p""","=""""","=""4""",11,9,,"=""T8748""","=""L3475""",
"=""644.790""","=""644.7908+""","=""19""","=""""","=""""","=""""","=""""",,"=""1.7392154""","=""3.6620748""","=""""","=""*""","=""3 or 4 or 5""","=""""","=""""","=""2""",7,5,,"=""""","=""L3475""",
"=""645.981""","=""645.9818+""","=""35""","=""4.12e+06""","=""3.31e-02""","=""4.9e+00""","=""-0.635""",B+,"=""0.1722067""","=""2.0915208""","=""4f.5d.6s2""","=""3G*""","=""3""","=""4f2.(3F).5d (4H).6s?""","=""""","=""4""",7,9,,"=""T8748""","=""L3475""",
"=""646.918""","=""646.9180+""","=""28""","=""""","=""""","=""""","=""""",,"=""0.3022275""","=""2.2187641""","=""4f.(2F*) .5d2.(3F).6s (4F)""","=""5H*""","=""4""","=""4f2.(3H).5d (4H).6s""","=""""","=""5""",9,11,,"=""""","=""L3475""",
"=""647.551""","=""647.5486+""","=""35""","=""""","=""""","=""""","=""""",,"=""0.6843619""","=""2.5990321""","=""4f.(2F*) .5d2.(3F).6s (4F)""","=""*""","=""3""","=""""","=""""","=""2""",7,5,,"=""""","=""L3475""",
"=""649.276""","=""649.2773+""","=""17""","=""""","=""""","=""""","=""""",,"=""0.8261347""","=""2.7357071""","=""4f.(2F*) .5d2.(3F).6s (4F)""","=""*""","=""5""","=""4f.5d.(3H*).6s.6p.(3P*)""","=""""","=""6""",11,13,,"=""""","=""L3475""",
"=""651.911""","=""651.9110+""","=""19""","=""""","=""""","=""""","=""""",,"=""0.3980616""","=""2.2999194""","=""4f.(2F*) .5d2.(3F).6s (4F)""","=""*""","=""5""","=""4f2.(3H).5d (2G).6s""","=""""","=""4""",11,9,,"=""""","=""L3475""",
"=""655.351""","=""655.3512+""","=""19""","=""2.15e+06""","=""1.38e-02""","=""3.88e+00""","=""-0.745""",B+,"=""0.4929741""","=""2.3848482""","=""4f.5d.6s2""","=""3H*""","=""6""","=""4f.5d.(3H*).6s.6p.(3P*)""","=""""","=""6""",13,13,,"=""T8748""","=""L3475""",
"=""655.746""","=""655.7460+""","=""45""","=""7.1e+06""","=""5.6e-02""","=""1.09e+01""","=""-0.30""",B+,"=""0.8028646""","=""2.6935999""","=""4f.(2F*) .5d2.(3F).6s (2F)""","=""*""","=""4""","=""4f.(2F*).5d2.(3F) (4I*).6p""","=""5I""","=""5""",9,11,,"=""T8748""","=""L3475""",
"=""658.092""","=""658.0861+""","=""24i*""","=""""","=""""","=""""","=""""",,"=""1.3676040""","=""3.2516159""","=""4f.(2F*) .5d2.(3P).6s (4P)""","=""5G*""","=""6""","=""""","=""""","=""5""",13,11,,"=""""","=""L3475""",
"=""658.092""","=""658.0942+""","=""23i*""","=""""","=""""","=""""","=""""",,"=""1.7264265""","=""3.6104153""","=""""","=""*""","=""3""","=""""","=""""","=""2 or 3""",7,5,,"=""""","=""L3475""",
"=""660.817""","=""660.8176+""","=""15""","=""""","=""""","=""""","=""""",,"=""0.2949370""","=""2.1711612""","=""4f.5d.6s2""","=""1D*""","=""2""","=""""","=""""","=""3""",5,7,,"=""""","=""L3475""",
"=""661.389""","=""661.3808+""","=""22""","=""""","=""""","=""""","=""""",,"=""1.7090169""","=""3.5836435""","=""4f.5d.(1G*).6s.6p.(3P*)""","=""""","=""5""","=""""","=""*""","=""6""",11,13,,"=""""","=""L3475""",
"=""662.483""","=""662.4825+""","=""10""","=""7.8e+05""","=""6.3e-03""","=""1.23e+00""","=""-1.25""",B+,"=""0.3843697&dagger;""","=""2.2558789""","=""4f.5d.6s2""","=""3F*""","=""4""","=""4f.5d.(3G*).6s.6p.(3P*)""","=""""","=""5""",9,11,,"=""T8748""","=""L3475""",
"=""663.076""","=""663.0763+""","=""30""","=""""","=""""","=""""","=""""",,"=""0.2738386""","=""2.1436717""","=""4f.5d.6s2""","=""3H*""","=""5""","=""4f2.(3H).5d (2I).6s""","=""""","=""6""",11,13,,"=""""","=""L3475""",
"=""665.273""","=""665.2729+""","=""13bl""","=""""","=""""","=""""","=""""",,"=""1.7244746""","=""3.5881339""","=""4f2.(3H).5d (4K).6s""","=""5K""","=""7""","=""""","=""*""","=""7""",15,15,,"=""""","=""L3475""",
"=""666.325""","=""666.3250+""","=""10""","=""3.29e+06""","=""2.68e-02""","=""5.3e+00""","=""-0.62""",B,"=""0.9110730""","=""2.7717896""","=""4f.(2F*) .5d2.(3F).6s (2F)""","=""*""","=""4""","=""""","=""""","=""5""",9,11,,"=""T8748""","=""L3475""",
"=""666.743""","=""666.7430+""","=""13""","=""1.09e+06""","=""8.9e-03""","=""1.75e+00""","=""-1.097""",B+,"=""0.3963288""","=""2.2558789""","=""4f.(2F*) .5d2.(3F).6s (4F)""","=""5I*""","=""4""","=""4f.5d.(3G*).6s.6p.(3P*)""","=""""","=""5""",9,11,,"=""T8748""","=""L3475""",
"=""668.845""","=""668.8446+""","=""15""","=""""","=""""","=""""","=""""",,"=""1.6069530""","=""3.4606600""","=""4f2.(3H).5d (4K).6s""","=""5K""","=""6""","=""""","=""*""","=""6""",13,13,,"=""""","=""L3475""",
"=""670.251""","=""670.2509+""","=""26""","=""""","=""""","=""""","=""""",,"=""1.6069530""","=""3.4567707""","=""4f2.(3H).5d (4K).6s""","=""5K""","=""6""","=""""","=""*""","=""7""",13,15,,"=""""","=""L3475""",
"=""670.612""","=""670.6123+""","=""35""","=""3.04e+06""","=""2.05e-02""","=""5.0e+00""","=""-0.647""",B+,"=""0.2738386""","=""2.1226593""","=""4f.5d.6s2""","=""3H*""","=""5""","=""4f2.(3F).5d (4H).6s?""","=""""","=""5""",11,11,,"=""T8748""","=""L3475""",
"=""673.057""","=""673.0567+""","=""15""","=""""","=""""","=""""","=""""",,"=""0.2738386""","=""2.1159448""","=""4f.5d.6s2""","=""3H*""","=""5""","=""4f.5d.(3H*).6s.6p.(3P*)""","=""5I""","=""6""",11,13,,"=""""","=""L3475""",
"=""673.143""","=""673.1433+""","=""15""","=""""","=""""","=""""","=""""",,"=""0.4666775""","=""2.3085467""","=""4f.(2F*) .5d2.(3F).6s (4F)""","=""5I*""","=""5""","=""4f.5d.(3F*).6s.6p.(3P*)""","=""""","=""5""",11,11,,"=""""","=""L3475""",
"=""674.876""","=""674.8771+""","=""10""","=""""","=""""","=""""","=""""",,"=""1.7283141""","=""3.5654514""","=""4f2.(3H).5d (2H).6s""","=""3H""","=""6""","=""""","=""*""","=""6""",13,13,,"=""""","=""L3475""",
