obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),fik,S(a.u.),log_gf,Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,column_24
"=""797.51""","=""0.06""","=""797.5041""","=""0.0004""","=""560""","=""""","=""""","=""""","=""""",,"=""6.9031577""","=""8.4578106""","=""5p3.(4S*).5d""","=""5D*""","=""3""","=""5p3.(4S*).5f""","=""5F""","=""4""",7,9,,"=""""","=""L3315,L3682""",
"=""797.51""","=""0.06""","=""797.5242""","=""0.0004""","=""140""","=""""","=""""","=""""","=""""",,"=""6.9031577""","=""8.4577714""","=""5p3.(4S*).5d""","=""5D*""","=""3""","=""5p3.(4S*).5f""","=""5F""","=""3""",7,7,,"=""""","=""L3315,L3682""",
"=""806.36""","=""0.06""","=""806.3563""","=""0.0005""","=""1100""","=""""","=""""","=""""","=""""",,"=""6.9203292""","=""8.4579150""","=""5p3.(4S*).5d""","=""5D*""","=""4""","=""5p3.(4S*).5f""","=""5F""","=""5""",9,11,,"=""""","=""L3315,L3682""",
"=""808.47""","=""0.06""","=""""","=""""","=""360""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L3315""",
"=""825.39""","=""0.06""","=""""","=""""","=""330""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L3315""",
"=""827.89""","=""0.06""","=""827.9335""","=""0.0005""","=""330""","=""""","=""""","=""""","=""""",,"=""6.8042615""","=""8.3017755""","=""5p3.(2D*).6s""","=""3D*""","=""2""","=""5p3.(2D*).6p""","=""3P""","=""1""",5,3,,"=""""","=""L3315,L3682""",
"=""829.24""","=""0.06""","=""829.3214""","=""0.0005""","=""330""","=""""","=""""","=""""","=""""",,"=""6.8042615""","=""8.2992693""","=""5p3.(2D*).6s""","=""3D*""","=""2""","=""5p3.(2D*).6p""","=""1F""","=""3""",5,7,,"=""""","=""L3315,L3682""",
"=""835.83""","=""0.06""","=""""","=""""","=""520""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L3315""",
"=""847.21""","=""0.06""","=""""","=""""","=""220""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L3315""",
"=""849.45""","=""0.06""","=""849.4210""","=""0.0005""","=""260""","=""""","=""""","=""""","=""""",,"=""6.7149958""","=""8.1746277""","=""5p3.(4S*).6p""","=""5P""","=""1""","=""5p3.(4S*).8s""","=""5S*""","=""2""",3,5,,"=""""","=""L3315,L3682""",
"=""850.31""","=""0.06""","=""850.2445""","=""0.0005""","=""190*""","=""""","=""""","=""""","=""""",,"=""7.0475765""","=""8.5057947""","=""5p3.(2D*).6s""","=""3D*""","=""3""","=""5p3.(2D*).6p""","=""1D""","=""2""",7,5,,"=""""","=""L3315,L3682""",
"=""850.31""","=""0.06""","=""850.30""","=""0.04""","=""190*""","=""""","=""""","=""""","=""""",,"=""6.9019224""","=""8.36004""","=""5p3.(4S*).6p""","=""3P""","=""2""","=""5p3.(4S*).7d""","=""5D*""","=""3""",5,7,,"=""""","=""L3315""",
"=""852.37""","=""0.06""","=""852.2463""","=""0.0005""","=""390""","=""""","=""""","=""""","=""""",,"=""6.7198347""","=""8.1746277""","=""5p3.(4S*).6p""","=""5P""","=""2""","=""5p3.(4S*).8s""","=""5S*""","=""2""",5,5,,"=""""","=""L3315,L3682""",
"=""863.46""","=""0.06""","=""""","=""""","=""250""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L3315""",
"=""870.3480""","=""0.0004""","=""870.3482""","=""0.0005""","=""620""","=""""","=""""","=""""","=""""",,"=""7.0812591""","=""8.5057947""","=""5p3.(2D*).6s""","=""1D*""","=""2""","=""5p3.(2D*).6p""","=""1D""","=""2""",5,5,,"=""""","=""L3682""",
"=""876.0588""","=""0.0004""","=""876.0589""","=""0.0005""","=""5100""","=""""","=""""","=""""","=""""",,"=""5.4866727""","=""6.9019224""","=""5p3.(4S*).6s""","=""5S*""","=""2""","=""5p3.(4S*).6p""","=""3P""","=""2""",5,5,,"=""""","=""L3682""",
"=""883.3946""","=""0.0004""","=""883.3946""","=""0.0006""","=""450""","=""""","=""""","=""""","=""""",,"=""6.7799378""","=""8.1834351""","=""5p3.(2D*).6s""","=""3D*""","=""1""","=""5p3.(2D*).6p""","=""3P""","=""0""",3,1,,"=""""","=""L3682""",
"=""885.3583""","=""0.0004""","=""885.3582""","=""0.0006""","=""690""","=""""","=""""","=""""","=""""",,"=""6.9031577""","=""8.3035423""","=""5p3.(4S*).5d""","=""5D*""","=""3""","=""5p3.(2D*).6p""","=""3F""","=""4""",7,9,,"=""""","=""L3682""",
"=""900.6840""","=""0.0004""","=""900.6841""","=""0.0006""","=""1400""","=""""","=""""","=""""","=""""",,"=""5.4866727""","=""6.8632286""","=""5p3.(4S*).6s""","=""5S*""","=""2""","=""5p3.(4S*).6p""","=""3P""","=""1""",5,3,,"=""""","=""L3682""",
"=""904.5871""","=""0.0004""","=""904.5872""","=""0.0006""","=""490""","=""""","=""""","=""""","=""""",,"=""6.7799378""","=""8.1505541""","=""5p3.(2D*).6s""","=""3D*""","=""1""","=""5p3.(2D*).6p""","=""1P""","=""1""",3,3,,"=""""","=""L3682""",
"=""919.9322""","=""0.0004""","=""919.9321""","=""0.0006""","=""280""","=""""","=""""","=""""","=""""",,"=""6.9031577""","=""8.2509115""","=""5p3.(4S*).5d""","=""5D*""","=""3""","=""5p3.(2D*).6p""","=""3D""","=""3""",7,7,,"=""""","=""L3682""",
"=""920.9306""","=""0.0004""","=""920.9306""","=""0.0006""","=""330""","=""""","=""""","=""""","=""""",,"=""6.8042615""","=""8.1505541""","=""5p3.(2D*).6s""","=""3D*""","=""2""","=""5p3.(2D*).6p""","=""1P""","=""1""",5,3,,"=""""","=""L3682""",
"=""921.0164""","=""0.0004""","=""921.0165""","=""0.0006""","=""410""","=""""","=""""","=""""","=""""",,"=""7.0475765""","=""8.3937435""","=""5p3.(2D*).6s""","=""3D*""","=""3""","=""5p3.(4S*).8p""","=""3P""","=""2""",7,5,,"=""""","=""L3682""",
"=""947.1602""","=""0.0004""","=""947.1601""","=""0.0004""","=""12""","=""""","=""""","=""""","=""""",,"=""0.0000000""","=""1.3090099""","=""5p4""","=""3P""","=""2""","=""5p4""","=""1D""","=""2""",5,5,M1+E2,"=""""","=""L3682""",
"=""972.5408""","=""0.0005""","=""972.5408""","=""0.0007""","=""36000""","=""""","=""""","=""""","=""""",,"=""5.4866727""","=""6.7615210""","=""5p3.(4S*).6s""","=""5S*""","=""2""","=""5p3.(4S*).6p""","=""5P""","=""3""",5,7,,"=""""","=""L3682""",
"=""978.8221""","=""0.0005""","=""978.8221""","=""0.0007""","=""1800""","=""""","=""""","=""""","=""""",,"=""6.7799378""","=""8.0466051""","=""5p3.(2D*).6s""","=""3D*""","=""1""","=""5p3.(2D*).6p""","=""3D""","=""2""",3,5,,"=""""","=""L3682""",
"=""984.5003""","=""0.0005""","=""984.5003""","=""0.0007""","=""1100""","=""""","=""""","=""""","=""""",,"=""7.0475765""","=""8.3069382""","=""5p3.(2D*).6s""","=""3D*""","=""3""","=""5p3.(2D*).6p""","=""3P""","=""2""",7,5,,"=""""","=""L3682""",
"=""987.1623""","=""0.0005""","=""987.1623""","=""0.0007""","=""5300""","=""""","=""""","=""""","=""""",,"=""7.0475765""","=""8.3035423""","=""5p3.(2D*).6s""","=""3D*""","=""3""","=""5p3.(2D*).6p""","=""3F""","=""4""",7,9,,"=""""","=""L3682""",
"=""990.5324""","=""0.0005""","=""990.5322""","=""0.0007""","=""1100""","=""""","=""""","=""""","=""""",,"=""7.0475765""","=""8.2992693""","=""5p3.(2D*).6s""","=""3D*""","=""3""","=""5p3.(2D*).6p""","=""1F""","=""3""",7,7,,"=""""","=""L3682""",
"=""995.9027""","=""0.0005""","=""995.9028""","=""0.0007""","=""5600""","=""""","=""""","=""""","=""""",,"=""6.8042615""","=""8.0492043""","=""5p3.(2D*).6s""","=""3D*""","=""2""","=""5p3.(2D*).6p""","=""3F""","=""3""",5,7,,"=""""","=""L3682""",
"=""996.2665""","=""0.0005""","=""996.2664""","=""0.0007""","=""310""","=""""","=""""","=""""","=""""",,"=""6.9031577""","=""8.1476461""","=""5p3.(4S*).5d""","=""5D*""","=""3""","=""5p3.(4S*).4f""","=""3F""","=""4""",7,9,,"=""""","=""L3682""",
"=""997.9863""","=""0.0005""","=""997.9864""","=""0.0007""","=""2600""","=""""","=""""","=""""","=""""",,"=""6.8042615""","=""8.0466051""","=""5p3.(2D*).6s""","=""3D*""","=""2""","=""5p3.(2D*).6p""","=""3D""","=""2""",5,5,,"=""""","=""L3682""",
"=""998.2041""","=""0.0005""","=""998.2041""","=""0.0007""","=""1100""","=""""","=""""","=""""","=""""",,"=""6.9031577""","=""8.1452303""","=""5p3.(4S*).5d""","=""5D*""","=""3""","=""5p3.(4S*).4f""","=""5F""","=""4""",7,9,,"=""""","=""L3682""",
"=""998.8584""","=""0.0005""","=""998.8586""","=""0.0007""","=""420""","=""""","=""""","=""""","=""""",,"=""7.2645360""","=""8.5057947""","=""5p3.(4S*).5d""","=""3D*""","=""2""","=""5p3.(2D*).6p""","=""1D""","=""2""",5,5,,"=""""","=""L3682""",
"=""1005.4169""","=""0.0005""","=""1005.4170""","=""0.0007""","=""25000""","=""""","=""""","=""""","=""""",,"=""5.4866727""","=""6.7198347""","=""5p3.(4S*).6s""","=""5S*""","=""2""","=""5p3.(4S*).6p""","=""5P""","=""2""",5,5,,"=""""","=""L3682""",
"=""1009.3777""","=""0.0005""","=""1009.3777""","=""0.0007""","=""17000""","=""""","=""""","=""""","=""""",,"=""5.4866727""","=""6.7149958""","=""5p3.(4S*).6s""","=""5S*""","=""2""","=""5p3.(4S*).6p""","=""5P""","=""1""",5,3,,"=""""","=""L3682""",
"=""1010.2341""","=""0.0005""","=""1010.2341""","=""0.0007""","=""680""","=""""","=""""","=""""","=""""",,"=""6.7149958""","=""7.9422777""","=""5p3.(4S*).6p""","=""5P""","=""1""","=""5p3.(4S*).6d""","=""5D*""","=""2""",3,5,,"=""""","=""L3682""",
