obs_wl_vac(nm),ritz_wl_vac(nm),intens,Aki(s^-1),fik,S(a.u.),log_gf,Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,column_22
"=""737.0125""","=""737.0125""","=""75""","=""""","=""""","=""""","=""""",,"=""4.3954187""","=""6.0776723""","=""4d9.(2D<5/2>).5p""","=""2[7/2]*""","=""3""","=""4d9.(2D<5/2>).6s""","=""2[5/2]""","=""2""",7,5,,"=""""","=""L9430""",
"=""739.3936""","=""739.3936""","=""27""","=""""","=""""","=""""","=""""",,"=""4.8120618""","=""6.4888980""","=""4d9.(2D<3/2>).5p""","=""2[5/2]*""","=""2""","=""4d9.(2D<3/2>).6s""","=""2[3/2]""","=""1""",5,3,,"=""""","=""L9430""",
"=""748.8970""","=""748.8971""","=""16""","=""""","=""""","=""""","=""""",,"=""4.3954187""","=""6.0509760""","=""4d9.(2D<5/2>).5p""","=""2[7/2]*""","=""3""","=""4d9.(2D<5/2>).6s""","=""2[5/2]""","=""3""",7,7,,"=""""","=""L9430""",
"=""776.6107""","=""776.6107""","=""120""","=""""","=""""","=""""","=""""",,"=""4.4544978""","=""6.0509760""","=""4d9.(2D<5/2>).5p""","=""2[7/2]*""","=""4""","=""4d9.(2D<5/2>).6s""","=""2[5/2]""","=""3""",9,7,,"=""""","=""L9430""",
"=""778.8735""","=""778.8735""","=""27""","=""""","=""""","=""""","=""""",,"=""4.4858322""","=""6.0776723""","=""4d9.(2D<5/2>).5p""","=""2[3/2]*""","=""1""","=""4d9.(2D<5/2>).6s""","=""2[5/2]""","=""2""",3,5,,"=""""","=""L9430""",
"=""791.7933""","=""791.7933""","=""45""","=""""","=""""","=""""","=""""",,"=""4.9418069""","=""6.5076727""","=""4d9.(2D<3/2>).5p""","=""2[5/2]*""","=""3""","=""4d9.(2D<3/2>).6s""","=""2[3/2]""","=""2""",7,5,,"=""""","=""L9430""",
"=""796.3214""","=""796.3214""","=""18""","=""""","=""""","=""""","=""""",,"=""3.4980613""","=""5.0550230""","=""4d8.5s2""","=""3F""","=""3""","=""4d9.(2D<3/2>).5p""","=""2[3/2]*""","=""2""",7,5,,"=""""","=""L9430""",
"=""813.5024""","=""813.5024""","=""55""","=""""","=""""","=""""","=""""",,"=""3.1121565""","=""4.6362356""","=""4d8.5s2""","=""3F""","=""4""","=""4d9.(2D<5/2>).5p""","=""2[5/2]*""","=""3""",9,7,,"=""""","=""L9430""",
"=""830.3055""","=""830.3055""","=""45""","=""""","=""""","=""""","=""""",,"=""4.5844364""","=""6.0776723""","=""4d9.(2D<5/2>).5p""","=""2[5/2]*""","=""2""","=""4d9.(2D<5/2>).6s""","=""2[5/2]""","=""2""",5,5,,"=""""","=""L9430""",
"=""835.5828""","=""835.5827""","=""9w""","=""""","=""""","=""""","=""""",,"=""5.0050928""","=""6.4888980""","=""4d9.(2D<3/2>).5p""","=""2[3/2]*""","=""1""","=""4d9.(2D<3/2>).6s""","=""2[3/2]""","=""1""",3,3,,"=""""","=""L9430""",
"=""853.5038""","=""853.5038""","=""18w""","=""""","=""""","=""""","=""""",,"=""5.0550230""","=""6.5076727""","=""4d9.(2D<3/2>).5p""","=""2[3/2]*""","=""2""","=""4d9.(2D<3/2>).6s""","=""2[3/2]""","=""2""",5,5,,"=""""","=""L9430""",
"=""860.1431""","=""860.1432""","=""16w""","=""""","=""""","=""""","=""""",,"=""4.6362356""","=""6.0776723""","=""4d9.(2D<5/2>).5p""","=""2[5/2]*""","=""3""","=""4d9.(2D<5/2>).6s""","=""2[5/2]""","=""2""",7,5,,"=""""","=""L9430""",
"=""876.3741""","=""876.3742""","=""65""","=""""","=""""","=""""","=""""",,"=""4.6362356""","=""6.0509760""","=""4d9.(2D<5/2>).5p""","=""2[5/2]*""","=""3""","=""4d9.(2D<5/2>).6s""","=""2[5/2]""","=""3""",7,7,,"=""""","=""L9430""",
