obs_wl_vac(nm),ritz_wl_vac(nm),intens,Aki(s^-1),fik,S(a.u.),log_gf,Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,column_22
"=""""","=""450.2828+""","=""""","=""3.4e+06""","=""1.03e-02""","=""9.2e-01""","=""-1.21""",B,"=""0.3731927""","=""3.126667""","=""5d2.(3F).6s""","=""4F""","=""5/2""","=""5d2.(3P).6p""","=""*""","=""5/2""",6,6,,"=""T9460""","=""""",
"=""454.306""","=""454.3047+""","=""30""","=""1.87e+07""","=""8.7e-02""","=""5.2e+00""","=""-0.46""",B,"=""0.9287062""","=""3.657804&dagger;""","=""5d2.(3P).6s""","=""4P""","=""3/2""","=""4f.5d.(3D*).6s""","=""*""","=""5/2""",4,6,,"=""T9460""","=""L3475""",
"=""455.078""","=""455.0773+""","=""80""","=""1.85e+07""","=""5.7e-02""","=""5.2e+00""","=""-0.462""",B+,"=""0.3731927""","=""3.097657""","=""5d2.(3F).6s""","=""4F""","=""5/2""","=""5d2.(3P).6p?""","=""*""","=""5/2""",6,6,,"=""T9460""","=""L3475""",
"=""""","=""455.1439+""","=""""","=""2.17e+06""","=""6.7e-03""","=""4.0e-01""","=""-1.57""",B,"=""0.3308132""","=""3.054879""","=""5d2.(3F).6s""","=""4F""","=""3/2""","=""5d2.(3P).6p""","=""4S*""","=""3/2""",4,4,,"=""T9460""","=""""",
"=""""","=""456.6131+""","=""""","=""4.8e+06""","=""1.01e-02""","=""9.1e-01""","=""-1.22""",B+,"=""0.3731927""","=""3.088493""","=""5d2.(3F).6s""","=""4F""","=""5/2""","=""4f.5d.(1D*).6s?""","=""*""","=""3/2""",6,4,,"=""T9460""","=""""",
"=""456.919""","=""456.9184+""","=""160""","=""3.27e+07""","=""1.02e-01""","=""1.23e+01""","=""-0.087""",B+,"=""0.4332660""","=""3.146752""","=""5d2.(3F).6s""","=""4F""","=""7/2""","=""4f.5d.(3F*).6s""","=""4F*""","=""7/2""",8,8,,"=""T9460""","=""L3475""",
"=""457.130""","=""457.1304+""","=""200""","=""4.34e+07""","=""1.36e-01""","=""2.05e+01""","=""0.133""",B+,"=""0.5110098""","=""3.223238""","=""5d2.(3F).6s""","=""4F""","=""9/2""","=""4f.5d.(3F*).6s""","=""4F*""","=""9/2""",10,10,,"=""T9460""","=""L3475""",
"=""""","=""458.2481+""","=""""","=""1.46e+07""","=""4.6e-02""","=""4.2e+00""","=""-0.56""",B,"=""0.9521911""","=""3.657804&dagger;""","=""5d2.(3P).6s""","=""4P""","=""5/2""","=""4f.5d.(3D*).6s""","=""*""","=""5/2""",6,6,,"=""T9460""","=""""",
"=""""","=""459.7472+""","=""""","=""1.73e+06""","=""5.5e-03""","=""5.0e-01""","=""-1.48""",B,"=""0.1305757""","=""2.827367""","=""5d.6s2""","=""2D""","=""5/2""","=""5d2.(3F).6p""","=""4D*""","=""5/2""",6,6,,"=""T9460""","=""""",
"=""460.334""","=""460.3327+""","=""35""","=""2.33e+07""","=""5.6e-02""","=""6.7e+00""","=""-0.35""",B+,"=""0.9983409""","=""3.691701&dagger;""","=""5d2.(3F).6s""","=""2F""","=""7/2""","=""4f.5d.(3D*).6s""","=""*""","=""5/2""",8,6,,"=""T9460""","=""L3475""",
"=""""","=""460.5527+""","=""""","=""1.8e+07""","=""5.7e-02""","=""5.2e+00""","=""-0.46""",B+,"=""1.1386457""","=""3.830720""","=""5d2.(1D).6s""","=""2D""","=""5/2""","=""4f.5d.(3P*).6s""","=""4P*""","=""5/2""",6,6,,"=""T9460""","=""""",
"=""461.636""","=""461.6357+""","=""23""","=""""","=""""","=""""","=""""",,"=""0.8965802""","=""3.582339""","=""5d2.(3P).6s""","=""4P""","=""1/2""","=""4f.5d.(3D*).6s""","=""4D*""","=""1/2""",2,2,,"=""""","=""L3475""",
"=""""","=""464.4429+""","=""""","=""3.81e+06""","=""1.65e-02""","=""1.52e+00""","=""-1.00""",B+,"=""0.8693659""","=""3.538891""","=""5d2.(3F).6s""","=""2F""","=""5/2""","=""4f.5d.(3F*).6s""","=""2F*""","=""7/2""",6,8,,"=""T9460""","=""""",
"=""464.764""","=""464.7636+""","=""45""","=""""","=""""","=""""","=""""",,"=""1.2349947""","=""3.902678""","=""5d2.(1G).6s""","=""2G""","=""7/2""","=""""","=""*""","=""5/2""",8,6,,"=""""","=""L3475""",
"=""464.995""","=""464.9943+""","=""80""","=""2.02e+07""","=""6.5e-02""","=""4.0e+00""","=""-0.58""",B+,"=""0.3308132""","=""2.997173""","=""5d2.(3F).6s""","=""4F""","=""3/2""","=""4f.5d.(3F*).6s""","=""4F*""","=""3/2""",4,4,,"=""T9460""","=""L3475""",
"=""465.163""","=""465.1624+""","=""35""","=""5.4e+06""","=""1.73e-02""","=""1.59e+00""","=""-0.98""",B+,"=""0.3731927""","=""3.038589&dagger;""","=""5d2.(3F).6s""","=""4F""","=""5/2""","=""4f.5d.(3F*).6s""","=""4F*""","=""5/2""",6,6,,"=""T9460""","=""L3475""",
"=""""","=""465.2353+""","=""""","=""2.1e+06""","=""6.9e-03""","=""6.3e-01""","=""-1.38""",C+,"=""0.8693659""","=""3.534344""","=""5d2.(3F).6s""","=""2F""","=""5/2""","=""5d.6s.(3D).6p""","=""*""","=""5/2""",6,6,,"=""T9460""","=""""",
"=""""","=""465.3176+""","=""""","=""5.4e+06""","=""1.8e-02""","=""1.1e+00""","=""-1.15""",C,"=""1.0471760""","=""3.711683&dagger;""","=""5d2.(1D).6s""","=""2D""","=""3/2""","=""4f.5d.(3P*).6s""","=""*""","=""3/2""",4,4,,"=""T9460""","=""""",
"=""465.338""","=""465.3378+""","=""45""","=""6.9e+06""","=""1.69e-02""","=""2.07e+00""","=""-0.87""",B+,"=""0.4332660""","=""3.097657""","=""5d2.(3F).6s""","=""4F""","=""7/2""","=""5d2.(3P).6p?""","=""*""","=""5/2""",8,6,,"=""T9460""","=""L3475""",
"=""466.200""","=""466.2001+""","=""35""","=""1.87e+07""","=""4.6e-02""","=""5.6e+00""","=""-0.44""",B,"=""0.9983409""","=""3.657804&dagger;""","=""5d2.(3F).6s""","=""2F""","=""7/2""","=""4f.5d.(3D*).6s""","=""*""","=""5/2""",8,6,,"=""T9460""","=""L3475""",
"=""""","=""467.2968+""","=""""","=""1.44e+06""","=""6.3e-03""","=""5.8e-01""","=""-1.42""",B+,"=""0.3731927""","=""3.026415""","=""5d2.(3F).6s""","=""4F""","=""5/2""","=""4f.5d.(1G*).6s""","=""*""","=""7/2""",6,8,,"=""T9460""","=""""",
"=""470.158""","=""470.157+""","=""35""","=""""","=""""","=""""","=""""",,"=""1.644078""","=""4.281159""","=""5d.6s.(3D).6p""","=""4F*""","=""3/2""","=""""","=""""","=""5/2""",4,6,,"=""""","=""L3475""",
"=""470.396""","=""470.3957+""","=""35""","=""4.9e+06""","=""1.29e-02""","=""2.00e+00""","=""-0.89""",B,"=""0.5110098""","=""3.146752""","=""5d2.(3F).6s""","=""4F""","=""9/2""","=""4f.5d.(3F*).6s""","=""4F*""","=""7/2""",10,8,,"=""T9460""","=""L3475""",
"=""470.951""","=""470.9503+""","=""35""","=""2.03e+07""","=""4.5e-02""","=""4.2e+00""","=""-0.57""",B+,"=""1.1386457""","=""3.771284&dagger;""","=""5d2.(1D).6s""","=""2D""","=""5/2""","=""4f.5d.(3P*).6s""","=""4P*""","=""3/2""",6,4,,"=""T9460""","=""L3475""",
"=""""","=""471.5477+""","=""""","=""1.85e+06""","=""9.2e-03""","=""5.7e-01""","=""-1.43""",C+,"=""0.3308132""","=""2.960117""","=""5d2.(3F).6s""","=""4F""","=""3/2""","=""5d.6s.(3D).6p""","=""*""","=""5/2""",4,6,,"=""T9460""","=""""",
"=""""","=""472.5043+""","=""""","=""2.09e+06""","=""4.7e-03""","=""4.4e-01""","=""-1.55""",B,"=""0.3731927""","=""2.997173""","=""5d2.(3F).6s""","=""4F""","=""5/2""","=""4f.5d.(3F*).6s""","=""4F*""","=""3/2""",6,4,,"=""T9460""","=""""",
"=""475.174""","=""475.1748+""","=""45""","=""3.6e+07""","=""9.9e-02""","=""1.55e+01""","=""-0.00""",B,"=""1.2299011""","=""3.839135""","=""5d2.(1G).6s""","=""2G""","=""9/2""","=""""","=""*""","=""7/2""",10,8,,"=""T9460""","=""L3475""",
