obs_wl_vac(nm),ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),fik,S(a.u.),log_gf,Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,column_23
"=""""","=""3888.7""","=""1.5""","=""""","=""7.72e+04""","=""1.75e-02""","=""4.48e+00""","=""-1.456""",A,"=""4.837313""","=""5.15614""","=""1s2.5p""","=""2P*""","=""1/2""","=""1s2.8s""","=""2S""","=""1/2""",2,2,,"=""T5118LS""","=""""",
"=""""","=""4030.4""","=""1.6""","=""""","=""2.41e+06""","=""8.80e-01""","=""4.67e+02""","=""0.547""",B',"=""4.540720""","=""4.84834""","=""1s2.4d""","=""2D""","=""3/2""","=""1s2.5f""","=""2F*""","=""5/2""",4,6,,"=""T1115CA""","=""""",
"=""""","=""4030.5""","=""1.6""","=""""","=""1.72e+05""","=""4.19e-02""","=""3.33e+01""","=""-0.600""",B',"=""4.540723""","=""4.84834""","=""1s2.4d""","=""2D""","=""5/2""","=""1s2.5f""","=""2F*""","=""5/2""",6,6,,"=""T1115CA""","=""""",
"=""""","=""4030.5""","=""1.6""","=""""","=""2.58e+06""","=""8.38e-01""","=""6.67e+02""","=""0.701""",B',"=""4.540723""","=""4.84834""","=""1s2.4d""","=""2D""","=""5/2""","=""1s2.5f""","=""2F*""","=""7/2""",6,8,,"=""T1115CA""","=""""",
"=""4048.6""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L7397""",
"=""""","=""4057.2""","=""1.7""","=""""","=""2.49e+03""","=""6.14e-04""","=""4.92e-01""","=""-2.433""",B',"=""4.54157""","=""4.847155""","=""1s2.4f""","=""2F*""","=""5/2""","=""1s2.5d""","=""2D""","=""5/2""",6,6,,"=""T1115CA""","=""""",
"=""""","=""4057.2""","=""1.7""","=""""","=""5.23e+04""","=""8.60e-03""","=""6.90e+00""","=""-1.287""",B',"=""4.54157""","=""4.847154""","=""1s2.4f""","=""2F*""","=""5/2""","=""1s2.5d""","=""2D""","=""3/2""",6,4,,"=""T1115CA""","=""""",
"=""""","=""4057.2""","=""1.7""","=""""","=""4.98e+04""","=""9.22e-03""","=""9.85e+00""","=""-1.132""",B',"=""4.54157""","=""4.847155""","=""1s2.4f""","=""2F*""","=""7/2""","=""1s2.5d""","=""2D""","=""5/2""",8,6,,"=""T1115CA""","=""""",
"=""""","=""4180.29""","=""0.25""","=""""","=""2.77e+04""","=""7.25e-03""","=""3.99e+00""","=""-1.538""",A,"=""4.540720""","=""4.837313""","=""1s2.4d""","=""2D""","=""3/2""","=""1s2.5p""","=""2P*""","=""3/2""",4,4,,"=""T5118LS""","=""""",
"=""""","=""4180.29""","=""0.25""","=""""","=""2.76e+05""","=""3.62e-02""","=""1.99e+01""","=""-0.840""",A,"=""4.540720""","=""4.837313""","=""1s2.4d""","=""2D""","=""3/2""","=""1s2.5p""","=""2P*""","=""1/2""",4,2,,"=""T5118LS""","=""""",
"=""""","=""4180.32""","=""0.25""","=""""","=""2.49e+05""","=""4.35e-02""","=""3.59e+01""","=""-0.584""",A,"=""4.540723""","=""4.837313""","=""1s2.4d""","=""2D""","=""5/2""","=""1s2.5p""","=""2P*""","=""3/2""",6,4,,"=""T5118LS""","=""""",
"=""""","=""4482.4""","=""2.0""","=""""","=""4.53e+04""","=""1.37e-02""","=""8.06e+00""","=""-1.263""",A,"=""4.837313""","=""5.11391""","=""1s2.5p""","=""2P*""","=""3/2""","=""1s2.7d""","=""2D""","=""3/2""",4,4,,"=""T5118LS""","=""""",
"=""""","=""4482.4""","=""2.0""","=""""","=""2.27e+05""","=""1.37e-01""","=""4.03e+01""","=""-0.564""",A,"=""4.837313""","=""5.11391""","=""1s2.5p""","=""2P*""","=""1/2""","=""1s2.7d""","=""2D""","=""3/2""",2,4,,"=""T5118LS""","=""""",
"=""""","=""4482.4""","=""2.0""","=""""","=""2.72e+05""","=""1.23e-01""","=""7.25e+01""","=""-0.309""",A,"=""4.837313""","=""5.11391""","=""1s2.5p""","=""2P*""","=""3/2""","=""1s2.7d""","=""2D""","=""5/2""",4,6,,"=""T5118LS""","=""""",
"=""""","=""4711.6""","=""0.3""","=""""","=""7.46e+03""","=""2.48e-03""","=""1.54e+00""","=""-2.003""",A,"=""4.847154""","=""5.110300""","=""1s2.5d""","=""2D""","=""3/2""","=""1s2.7p""","=""2P*""","=""3/2""",4,4,,"=""T5118LS""","=""""",
"=""""","=""4711.6""","=""0.3""","=""""","=""7.46e+04""","=""1.24e-02""","=""7.70e+00""","=""-1.304""",A,"=""4.847154""","=""5.110300""","=""1s2.5d""","=""2D""","=""3/2""","=""1s2.7p""","=""2P*""","=""1/2""",4,2,,"=""T5118LS""","=""""",
"=""""","=""4711.6""","=""0.3""","=""""","=""6.73e+04""","=""1.49e-02""","=""1.39e+01""","=""-1.048""",A,"=""4.847155""","=""5.110300""","=""1s2.5d""","=""2D""","=""5/2""","=""1s2.7p""","=""2P*""","=""3/2""",6,4,,"=""T5118LS""","=""""",
"=""""","=""4781.6""","=""0.3""","=""""","=""3.33e+03""","=""1.14e-03""","=""3.59e-01""","=""-2.642""",A,"=""4.748533""","=""5.007826""","=""1s2.5s""","=""2S""","=""1/2""","=""1s2.6p""","=""2P*""","=""1/2""",2,2,,"=""T5118LS""","=""""",
"=""""","=""4781.6""","=""0.3""","=""""","=""3.33e+03""","=""2.28e-03""","=""7.18e-01""","=""-2.341""",A,"=""4.748533""","=""5.007826""","=""1s2.5s""","=""2S""","=""1/2""","=""1s2.6p""","=""2P*""","=""3/2""",2,4,,"=""T5118LS""","=""""",
