obs_wl_vac(nm),ritz_wl_vac(nm),intens,Aki(s^-1),fik,S(a.u.),log_gf,Acc,Ei(eV),Ek(eV),Type,tp_ref,line_ref,column_14
"=""283.838""","=""""","=""200""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""284.119""","=""""","=""200""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""284.384""","=""""","=""220""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""285.182""","=""""","=""270""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""286.803""","=""""","=""240""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""287.612""","=""""","=""200""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""288.429""","=""""","=""200""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""288.853""","=""""","=""2900""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""289.686""","=""""","=""490""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""290.333""","=""""","=""830c""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""290.643""","=""""","=""210""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""291.067""","=""""","=""550""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""292.828""","=""""","=""830c""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""293.147""","=""""","=""270""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""294.400""","=""""","=""440""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""296.314""","=""""","=""270""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""296.598""","=""""","=""720""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""296.663""","=""""","=""1500""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""297.716""","=""""","=""310""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""297.902""","=""""","=""210""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""298.169""","=""""","=""220""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""298.306""","=""""","=""220""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""298.934""","=""""","=""220""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""299.323""","=""""","=""1800""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""300.047""","=""""","=""5500""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""300.201""","=""""","=""350""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""300.502""","=""""","=""220""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""300.730""","=""""","=""200""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""301.690""","=""""","=""500""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""301.737""","=""""","=""300""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""303.133""","=""""","=""380""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""304.814""","=""""","=""240""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""305.967""","=""""","=""200""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""306.829""","=""""","=""1600""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""307.083""","=""""","=""320""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""307.205""","=""""","=""260""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""307.385""","=""""","=""200""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""308.333""","=""""","=""550""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""308.966""","=""""","=""340""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""309.454""","=""""","=""200""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""309.596""","=""""","=""200""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""310.157""","=""""","=""700""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""310.971""","=""""","=""700""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""311.176""","=""""","=""340""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""311.909""","=""""","=""340c""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""312.227""","=""""","=""340""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""312.985""","=""""","=""420""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""313.493""","=""""","=""260""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""314.229""","=""""","=""250""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""315.255""","=""""","=""440""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""315.470""","=""""","=""330""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""315.922""","=""""","=""360c""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""316.544""","=""""","=""220""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""316.929""","=""""","=""700""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""317.553""","=""""","=""220""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""317.863""","=""""","=""440""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""317.953""","=""""","=""260""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""318.379""","=""""","=""600""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""318.568""","=""""","=""1100""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""318.649""","=""""","=""1100""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""319.170""","=""""","=""260""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""319.328""","=""""","=""260""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""319.542""","=""""","=""200""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""319.950""","=""""","=""220""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""320.518""","=""""","=""1100c""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""323.687""","=""""","=""380""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""325.979""","=""""","=""600""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""326.049""","=""""","=""600""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""326.250""","=""""","=""200""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""326.983""","=""""","=""300""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""329.578""","=""""","=""200""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""329.765""","=""""","=""280""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""329.794""","=""""","=""280""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""330.255""","=""""","=""280""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""330.318""","=""""","=""240""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""330.470""","=""""","=""280""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""331.490""","=""""","=""240""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""332.344""","=""""","=""600""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""333.248""","=""""","=""200""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""333.914""","=""""","=""2000""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""334.320""","=""""","=""1600""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""334.528""","=""""","=""810""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""334.716""","=""""","=""320""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""335.729""","=""""","=""240bl""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""335.898""","=""""","=""200""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""336.371""","=""""","=""200""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""337.871""","=""""","=""240""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""338.067""","=""""","=""320""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""338.673""","=""""","=""200""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""339.040""","=""""","=""240""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""339.122""","=""""","=""200""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""340.028""","=""""","=""4000""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""340.570""","=""""","=""650""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""340.687""","=""""","=""650""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""340.965""","=""""","=""240""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""341.081""","=""""","=""320""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""341.875""","=""""","=""320""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""342.039""","=""""","=""810""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""342.560""","=""""","=""8000""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""342.717""","=""""","=""400""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""342.859""","=""""","=""300""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""343.870""","=""""","=""320""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""345.036""","=""""","=""400""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""345.287""","=""""","=""16000c""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""345.449""","=""""","=""240""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""346.145""","=""""","=""55000c""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""346.572""","=""""","=""40000c""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""346.895""","=""""","=""400""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""347.744""","=""""","=""240""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""348.138""","=""""","=""400""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""348.185""","=""""","=""320""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""348.323""","=""""","=""240""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""350.406""","=""""","=""560""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""351.328""","=""""","=""100c""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""351.766""","=""""","=""320""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""351.834""","=""""","=""320""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""353.583""","=""""","=""120""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""353.847""","=""""","=""320""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
"=""354.034""","=""""","=""160""","=""""","=""""","=""""","=""""",,"=""""","=""""",,"=""""","=""L3475""",
