obs_wl_vac(nm),ritz_wl_vac(nm),intens,Aki(s^-1),fik,S(a.u.),log_gf,Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,column_22
"=""457.130""","=""457.131+""","=""18""","=""""","=""""","=""""","=""""",,"=""2.890116""","=""5.602344""","=""5d7.6s2""","=""b 2D""","=""5/2""","=""""","=""4518*""","=""5/2""",6,6,,"=""""","=""L3475""",
"=""460.577""","=""460.579+""","=""18""","=""""","=""""","=""""","=""""",,"=""4.349465""","=""7.041385""","=""5d7.6s.(5F).6p""","=""z 6G*""","=""9/2""","=""""","=""5679""","=""7/2""",10,8,,"=""""","=""L3475""",
"=""461.768""","=""461.767+""","=""75""","=""""","=""""","=""""","=""""",,"=""1.514897""","=""4.199894""","=""5d8.(3F).6s""","=""a 2F""","=""5/2""","=""5d7.6s.(5F).6p""","=""z 6F*""","=""7/2""",6,8,,"=""""","=""L3475""",
"=""465.748""","=""465.748+""","=""26""","=""""","=""""","=""""","=""""",,"=""1.728315""","=""4.390359""","=""5d7.6s2""","=""a 2G""","=""9/2""","=""5d7.6s.(5F).6p""","=""z 6G*""","=""7/2""",10,8,,"=""""","=""L3475""",
"=""467.030""","=""467.028+""","=""17w""","=""""","=""""","=""""","=""""",,"=""1.996557""","=""4.651306""","=""5d7.6s2""","=""b 4P""","=""5/2""","=""5d7.6s.(5F).6p""","=""z 4D*""","=""7/2""",6,8,,"=""""","=""L3475""",
"=""471.020""","=""471.019+""","=""21""","=""""","=""""","=""""","=""""",,"=""2.363216""","=""4.995471""","=""5d8.(1D).6s""","=""a 2D""","=""5/2""","=""""","=""4029*""","=""7/2""",6,8,,"=""""","=""L3475""",
"=""473.018""","=""473.015+""","=""50""","=""""","=""""","=""""","=""""",,"=""1.728315""","=""4.349465""","=""5d7.6s2""","=""a 2G""","=""9/2""","=""5d7.6s.(5F).6p""","=""z 6G*""","=""9/2""",10,10,,"=""""","=""L3475""",
"=""473.318""","=""473.319+""","=""21""","=""""","=""""","=""""","=""""",,"=""2.053842""","=""4.673305""","=""5d8.(3P).6s""","=""a 4P""","=""3/2""","=""5d7.6s.(5F).6p""","=""z 6G*""","=""3/2""",4,4,,"=""""","=""L3475""",
"=""475.779""","=""475.778+""","=""26""","=""""","=""""","=""""","=""""",,"=""4.199894""","=""6.805819""","=""5d7.6s.(5F).6p""","=""z 6F*""","=""7/2""","=""""","=""5489""","=""9/2""",8,10,,"=""""","=""L3475""",
"=""475.929""","=""475.929+""","=""13""","=""""","=""""","=""""","=""""",,"=""2.068205""","=""4.673305""","=""5d8.(3P).6s""","=""a 4P""","=""1/2""","=""5d7.6s.(5F).6p""","=""z 6G*""","=""3/2""",2,4,,"=""""","=""L3475""",
"=""477.950""","=""477.948+""","=""65""","=""""","=""""","=""""","=""""",,"=""1.605802""","=""4.199894""","=""5d8.(3P).6s""","=""a 4P""","=""5/2""","=""5d7.6s.(5F).6p""","=""z 6F*""","=""7/2""",6,8,,"=""""","=""L3475""",
"=""479.701""","=""479.700+""","=""30""","=""""","=""""","=""""","=""""",,"=""1.514897""","=""4.099516""","=""5d8.(3F).6s""","=""a 2F""","=""5/2""","=""5d7.6s.(5F).6p""","=""z 6D*""","=""5/2""",6,6,,"=""""","=""L3475""",
"=""480.848""","=""480.848+""","=""10""","=""""","=""""","=""""","=""""",,"=""2.429253""","=""5.007701""","=""5d7.6s2""","=""a 2H""","=""11/2""","=""""","=""4038*""","=""9/2""",12,10,,"=""""","=""L3475""",
"=""481.081""","=""481.081+""","=""21""","=""""","=""""","=""""","=""""",,"=""1.622693""","=""4.199894""","=""5d8.(3F).6s""","=""a 2F""","=""7/2""","=""5d7.6s.(5F).6p""","=""z 6F*""","=""7/2""",8,8,,"=""""","=""L3475""",
"=""484.212""","=""484.212+""","=""10""","=""""","=""""","=""""","=""""",,"=""1.224659""","=""3.785195""","=""5d8.(3F).6s""","=""b 4F""","=""5/2""","=""5d7.6s.(5F).6p""","=""z 6D*""","=""7/2""",6,8,,"=""""","=""L3475""",
"=""484.673""","=""484.672+""","=""17""","=""""","=""""","=""""","=""""",,"=""1.466868""","=""4.024971""","=""5d8.(3F).6s""","=""b 4F""","=""3/2""","=""5d7.6s.(5F).6p""","=""z 6D*""","=""3/2""",4,4,,"=""""","=""L3475""",
"=""491.473""","=""491.472+""","=""6""","=""3.3e+06""","=""1.18e-02""","=""2.3e+00""","=""-0.85""",C+,"=""2.429253""","=""4.951962""","=""5d7.6s2""","=""a 2H""","=""11/2""","=""""","=""3994*""","=""11/2""",12,12,,"=""T4422,T7959""","=""L7596""",
"=""493.947""","=""493.946+""","=""50""","=""""","=""""","=""""","=""""",,"=""1.514897""","=""4.024971""","=""5d8.(3F).6s""","=""a 2F""","=""5/2""","=""5d7.6s.(5F).6p""","=""z 6D*""","=""3/2""",6,4,,"=""""","=""L3475""",
"=""494.0552""","=""494.055+""","=""18""","=""3.1e+05""","=""9.5e-04""","=""1.86e-01""","=""-1.94""",C+,"=""1.728315""","=""4.237839""","=""5d7.6s2""","=""a 2G""","=""9/2""","=""5d7.6s.(5F).6p""","=""z 6G*""","=""11/2""",10,12,,"=""T4422""","=""L7593""",
"=""497.187""","=""497.187+""","=""26""","=""""","=""""","=""""","=""""",,"=""1.605802""","=""4.099516""","=""5d8.(3P).6s""","=""a 4P""","=""5/2""","=""5d7.6s.(5F).6p""","=""z 6D*""","=""5/2""",6,6,,"=""""","=""L3475""",
