obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),fik,S(a.u.),log_gf,Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,column_24
"=""919.297""","=""0.002""","=""919.30""","=""0.07""","=""3*""","=""""","=""""","=""""","=""""",,"=""7.693683""","=""9.04237""","=""1s2.2s.3d""","=""3D""","=""3""","=""1s2.2s.7f""","=""3F*""","=""4""",7,9,,"=""""","=""L483""",
"=""924.6453""","=""0.002""","=""924.6449""","=""0.0020""","=""5w""","=""9.48e+05""","=""2.03e-02""","=""1.85e+00""","=""-1.216""",B,"=""7.4622919""","=""8.803176""","=""1s2.2s.3p""","=""1P*""","=""1""","=""1s2.2s.5d""","=""1D""","=""2""",3,5,,"=""u28""","=""L4743""",
"=""939.532""","=""0.002""","=""939.532""","=""0.003""","=""3*""","=""2.08e+05""","=""1.96e-03""","=""4.25e-01""","=""-1.862""",B,"=""7.693683""","=""9.013321""","=""1s2.2s.3d""","=""3D""","=""3""","=""1s2.2s.7p""","=""3P*""","=""2""",7,5,,"=""u28""","=""L483""",
"=""939.532""","=""0.002""","=""939.532""","=""0.003""","=""3*""","=""3.71e+04""","=""4.91e-04""","=""7.59e-02""","=""-2.610""",B,"=""7.693683""","=""9.013321""","=""1s2.2s.3d""","=""3D""","=""2""","=""1s2.2s.7p""","=""3P*""","=""2""",5,5,,"=""u28""","=""L483""",
"=""939.532""","=""0.002""","=""939.532""","=""0.004""","=""3*""","=""6.19e+04""","=""8.19e-04""","=""7.60e-02""","=""-2.610""",B,"=""7.6936830""","=""9.013321""","=""1s2.2s.3d""","=""3D""","=""1""","=""1s2.2s.7p""","=""3P*""","=""1""",3,3,,"=""u28""","=""L483""",
"=""939.532""","=""0.002""","=""939.532""","=""0.004""","=""3*""","=""1.86e+05""","=""1.47e-03""","=""2.28e-01""","=""-2.132""",B,"=""7.693683""","=""9.013321""","=""1s2.2s.3d""","=""3D""","=""2""","=""1s2.2s.7p""","=""3P*""","=""1""",5,3,,"=""u28""","=""L483""",
"=""939.532""","=""0.002""","=""939.532""","=""0.003""","=""3*""","=""2.47e+03""","=""5.45e-05""","=""5.06e-03""","=""-3.786""",B,"=""7.6936830""","=""9.013321""","=""1s2.2s.3d""","=""3D""","=""1""","=""1s2.2s.7p""","=""3P*""","=""2""",3,5,,"=""u28""","=""L483""",
"=""939.532""","=""0.002""","=""939.532""","=""0.005""","=""3*""","=""2.47e+05""","=""1.09e-03""","=""1.01e-01""","=""-2.49""",B,"=""7.6936830""","=""9.013320""","=""1s2.2s.3d""","=""3D""","=""1""","=""1s2.2s.7p""","=""3P*""","=""0""",3,1,,"=""u28""","=""L483""",
"=""985.002""","=""0.005""","=""985.003""","=""0.003""","=""7""","=""5.2e+05""","=""4.5e-03""","=""7.3e-01""","=""-1.65""",D,"=""7.0525370""","=""8.311256""","=""1s2.2p2""","=""1D""","=""2""","=""1s2.2s.4p""","=""1P*""","=""1""",5,3,,"=""u28""","=""L4743""",
"=""989.834""","=""0.005""","=""989.834""","=""0.004""","=""3w*""","=""5.29e+05""","=""2.33e-02""","=""7.60e-01""","=""-1.632""",B,"=""7.303596""","=""8.556172""","=""1s2.2s.3p""","=""3P*""","=""0""","=""1s2.2s.5s""","=""3S""","=""1""",1,3,,"=""u28""","=""L4743""",
"=""989.834""","=""0.005""","=""989.834""","=""0.004""","=""3w*""","=""1.59e+06""","=""2.33e-02""","=""2.28e+00""","=""-1.155""",B,"=""7.303596""","=""8.556172""","=""1s2.2s.3p""","=""3P*""","=""1""","=""1s2.2s.5s""","=""3S""","=""1""",3,3,,"=""u28""","=""""",
"=""989.867""","=""0.005""","=""989.870""","=""0.004""","=""5w""","=""2.65e+06""","=""2.33e-02""","=""3.80e+00""","=""-0.933""",B,"=""7.303641""","=""8.556172""","=""1s2.2s.3p""","=""3P*""","=""2""","=""1s2.2s.5s""","=""3S""","=""1""",5,3,,"=""u28""","=""L4743""",
"=""994.251""","=""0.002""","=""994.250""","=""0.003""","=""5*""","=""2.52e+06""","=""5.22e-02""","=""8.54e+00""","=""-0.584""",B,"=""7.693683""","=""8.940695""","=""1s2.2s.3d""","=""3D""","=""2""","=""1s2.2s.6f""","=""3F*""","=""3""",5,7,,"=""u28""","=""L483""",
"=""994.251""","=""0.002""","=""994.250""","=""0.003""","=""5*""","=""4.41e+05""","=""6.54e-03""","=""1.07e+00""","=""-1.49""",B,"=""7.693683""","=""8.940695""","=""1s2.2s.3d""","=""3D""","=""2""","=""1s2.2s.6f""","=""3F*""","=""2""",5,5,,"=""u28""","=""L483""",
