obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),fik,S(a.u.),log_gf,Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,column_24
"=""177.727682""","=""0.000005""","=""177.727682""","=""0.000005""","=""12000""","=""""","=""""","=""""","=""""",,"=""0.09619638""","=""7.07227332""","=""5d9.6s""","=""a 1D""","=""2""","=""5d8.6s.(4P).6p""","=""3P*""","=""1""",5,3,,"=""""","=""L9083,L11529""",
"=""178.31027""","=""0.00020""","=""178.309952""","=""0.000013""","=""150""","=""""","=""""","=""""","=""""",,"=""1.25431290""","=""8.2076095""","=""5d8.6s2""","=""3F""","=""3""","=""""","=""p*""","=""2""",7,5,,"=""""","=""L11529""",
"=""178.664663""","=""0.000005""","=""178.664663""","=""0.000004""","=""16000""","=""""","=""""","=""""","=""""",,"=""0.10212092""","=""7.04161285""","=""5d8.6s2""","=""3F""","=""4""","=""5d7.(4F).6s2.6p""","=""b 3G*""","=""5""",9,11,,"=""""","=""L9083,L11529""",
"=""178.90920""","=""0.00003""","=""178.909111""","=""0.000006""","=""2600""","=""""","=""""","=""""","=""""",,"=""0.09619638""","=""7.0262067""","=""5d9.6s""","=""a 1D""","=""2""","=""5d8.6s.(4P).6p""","=""3P*""","=""2""",5,5,,"=""""","=""L9083,L11529""",
"=""179.417894""","=""0.000008""","=""179.417894""","=""0.000006""","=""3100""","=""""","=""""","=""""","=""""",,"=""1.25431290""","=""8.1646715""","=""5d8.6s2""","=""3F""","=""3""","=""""","=""o*""","=""4""",7,9,,"=""""","=""L9083,L11529""",
"=""179.4749""","=""0.0010""","=""179.474433""","=""0.000019""","=""88""","=""""","=""""","=""""","=""""",,"=""1.25619158""","=""8.1643732""","=""5d9.6s""","=""3D""","=""1""","=""""","=""n*""","=""1""",3,3,,"=""""","=""L11529""",
"=""179.96692""","=""0.00020""","=""179.96667""","=""0.00008""","=""480""","=""""","=""""","=""""","=""""",,"=""1.25619158""","=""8.145478""","=""5d9.6s""","=""3D""","=""1""","=""""","=""m*""","=""2 or 1""",3,1,,"=""""","=""L11529""",
"=""180.05413""","=""0.00020""","=""180.054005""","=""0.000010""","=""830""","=""""","=""""","=""""","=""""",,"=""0.81426023""","=""7.7002053""","=""5d9.6s""","=""3D""","=""2""","=""5d8.6s.(4P).6p""","=""b 3D*""","=""3""",5,7,,"=""""","=""L11529""",
"=""180.06249""","=""0.00020""","=""180.062530""","=""0.000013""","=""87""","=""""","=""""","=""""","=""""",,"=""0.00000000""","=""6.8856191""","=""5d9.6s""","=""3D""","=""3""","=""5d8.6s.(2P).6p""","=""3D*""","=""3""",7,7,,"=""""","=""L11529""",
"=""180.196952""","=""0.000012""","=""180.196952""","=""0.000013""","=""1000""","=""""","=""""","=""""","=""""",,"=""0.81426023""","=""7.6947428""","=""5d9.6s""","=""3D""","=""2""","=""5d7.(4F).6s2.6p""","=""a 5G*""","=""2""",5,5,,"=""""","=""L9083,L11529""",
"=""180.293868""","=""0.000006""","=""180.293868""","=""0.000006""","=""13000""","=""""","=""""","=""""","=""""",,"=""0.10212092""","=""6.97890491""","=""5d8.6s2""","=""3F""","=""4""","=""5d8.6s.(2G).6p""","=""3F*""","=""4""",9,9,,"=""""","=""L9083,L11529""",
