obs_wl_vac(nm),ritz_wl_vac(nm),intens,Aki(s^-1),fik,S(a.u.),log_gf,Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,column_22
"=""554.898""","=""554.897+""","=""200""","=""3.32e+07""","=""1.53e-01""","=""1.68e+01""","=""-0.036""",B+,"=""1.602337""","=""3.836700""","=""4f7.(8S*).5d (9D*).6s""","=""a 10D*""","=""5/2""","=""4f7.(8S*).5d (9D*).6p""","=""z 10D""","=""5/2""",6,6,,"=""T7356""","=""L7586,L3475""",
"=""557.188""","=""557.188+""","=""150""","=""1.95e+07""","=""7.8e-02""","=""2.00e+01""","=""0.037""",B+,"=""1.708339""","=""3.933514""","=""4f7.(8S*).5d (9D*).6s""","=""a 10D*""","=""13/2""","=""4f7.(8S*).5d (9D*).6p""","=""z 10D""","=""11/2""",14,12,,"=""T7356""","=""L7586,L3475""",
"=""557.869""","=""557.868+""","=""200""","=""2.80e+07""","=""1.09e-01""","=""2.40e+01""","=""0.116""",B+,"=""1.668481""","=""3.890948""","=""4f7.(8S*).5d (9D*).6s""","=""a 10D*""","=""11/2""","=""4f7.(8S*).5d (9D*).6p""","=""z 10D""","=""9/2""",12,10,,"=""T7356""","=""L7586,L3475""",
"=""558.118""","=""558.117+""","=""75""","=""""","=""""","=""""","=""""",,"=""1.805653""","=""4.027125""","=""4f7.(8S*).6s.6p.(3P*)""","=""z 10P""","=""9/2""","=""4f7.(8S*).5d2.(3P)""","=""e 10P*""","=""11/2""",10,12,,"=""""","=""L7586,L3475""",
"=""558.158""","=""558.158+""","=""120""","=""2.00e+07""","=""7.5e-02""","=""1.37e+01""","=""-0.13""",B+,"=""1.639324""","=""3.860634""","=""4f7.(8S*).5d (9D*).6s""","=""a 10D*""","=""9/2""","=""4f7.(8S*).5d (9D*).6p""","=""z 10D""","=""7/2""",10,8,,"=""T7356""","=""L7586,L3475""",
"=""558.779""","=""558.779+""","=""90""","=""1.71e+07""","=""6.0e-02""","=""8.8e+00""","=""-0.319""",B+,"=""1.617857""","=""3.836700""","=""4f7.(8S*).5d (9D*).6s""","=""a 10D*""","=""7/2""","=""4f7.(8S*).5d (9D*).6p""","=""z 10D""","=""5/2""",8,6,,"=""T7356""","=""L7586,L3475""",
"=""558.838""","=""558.836+""","=""75""","=""8.5e+06""","=""3.2e-02""","=""5.9e+00""","=""-0.50""",C+,"=""1.639324""","=""3.857939""","=""4f7.(8S*).5d (9D*).6s""","=""a 10D*""","=""9/2""","=""4f6.(7F).5d.6s2""","=""8P""","=""7/2""",10,8,,"=""T7356""","=""L7586,L3475""",
"=""559.380""","=""559.378+""","=""18""","=""""","=""""","=""""","=""""",,"=""1.602337""","=""3.818801""","=""4f7.(8S*).5d (9D*).6s""","=""a 10D*""","=""5/2""","=""4f7.(8S*).5d (9D*).6p""","=""z 8D""","=""3/2""",6,4,,"=""""","=""L7586,L3475""",
"=""560.135""","=""560.135+""","=""18*""","=""""","=""""","=""""","=""""",,"=""2.389577""","=""4.603047""","=""4f7.(8S*).5d (7D*).6s""","=""a 6D*""","=""9/2""","=""""","=""134""","=""9/2""",10,10,,"=""""","=""L7586,L3475""",
"=""560.135""","=""560.132+""","=""18*""","=""1.95e+06""","=""1.15e-02""","=""1.69e+00""","=""-1.04""",B,"=""1.617857""","=""3.831340""","=""4f7.(8S*).5d (9D*).6s""","=""a 10D*""","=""7/2""","=""4f7.(8S*).5d (9D*).6p""","=""z 8D""","=""9/2""",8,10,,"=""T7356""","=""L7586,L3475""",
