obs_wl_vac(nm),ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),fik,S(a.u.),log_gf,Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,column_23
"=""257.640""","=""257.644""","=""0.005""","=""50w""","=""""","=""""","=""""","=""""",,"=""4.304015538""","=""9.11625""","=""4d9.5s2""","=""2D""","=""3/2""","=""4d9.5s.(1D).5p""","=""2D*""","=""5/2""",4,6,,"=""""","=""L3326""",
"=""272.258""","=""272.2570""","=""0.0007""","=""50""","=""""","=""""","=""""","=""""",,"=""3.7495671196""","=""8.303507""","=""4d9.5s2""","=""2D""","=""5/2""","=""4d9.5s.(3D).5p""","=""2D*""","=""5/2""",6,6,,"=""""","=""L3326""",
"=""282.522""","=""282.5222""","=""0.0012""","=""100w""","=""""","=""""","=""""","=""""",,"=""3.7495671196""","=""8.138044""","=""4d9.5s2""","=""2D""","=""5/2""","=""4d9.5s.(3D).5p""","=""2F*""","=""7/2""",6,8,,"=""""","=""L3326""",
"=""292.763""","=""""","=""""","=""10w""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L3326""",
"=""293.928""","=""293.926""","=""0.003""","=""20w""","=""""","=""""","=""""","=""""",,"=""3.7495671196""","=""7.96778""","=""4d9.5s2""","=""2D""","=""5/2""","=""4d9.5s.(3D).5p""","=""2F*""","=""5/2""",6,6,,"=""""","=""L3326""",
"=""310.000""","=""309.9999""","=""0.0010""","=""20""","=""""","=""""","=""""","=""""",,"=""4.304015538""","=""8.303507""","=""4d9.5s2""","=""2D""","=""3/2""","=""4d9.5s.(3D).5p""","=""2D*""","=""5/2""",4,6,,"=""""","=""L3326""",
"=""313.093""","=""313.0914""","=""0.0015""","=""30w""","=""""","=""""","=""""","=""""",,"=""3.7495671196""","=""7.709567""","=""4d9.5s2""","=""2D""","=""5/2""","=""4d9.5s.(3D).5p""","=""4D*""","=""5/2""",6,6,,"=""""","=""L3326""",
"=""317.1496""","=""317.1500""","=""0.0005""","=""10w""","=""""","=""""","=""""","=""""",,"=""3.7495671196""","=""7.658891""","=""4d9.5s2""","=""2D""","=""5/2""","=""4d9.5s.(3D).5p""","=""4D*""","=""7/2""",6,8,,"=""""","=""L3326""",
"=""321.660""","=""321.657""","=""0.021""","=""15w""","=""""","=""""","=""""","=""""",,"=""6.9708242""","=""10.82537""","=""4d9.5s.(3D).5p""","=""4P*""","=""5/2""","=""4d9.5s.(3D).5d""","=""4D""","=""7/2""",6,8,,"=""""","=""L3326""",
"=""322.608""","=""322.599""","=""0.021""","=""10""","=""""","=""""","=""""","=""""",,"=""6.9708242""","=""10.81411""","=""4d9.5s.(3D).5p""","=""4P*""","=""5/2""","=""4d9.5s.(3D).5d""","=""4P""","=""5/2""",6,6,,"=""""","=""L3326""",
"=""323.411""","=""323.414""","=""0.021""","=""15""","=""""","=""""","=""""","=""""",,"=""6.9708242""","=""10.80443""","=""4d9.5s.(3D).5p""","=""4P*""","=""5/2""","=""4d9.5s.(3D).5d""","=""2D""","=""5/2""",6,6,,"=""""","=""L3326""",
"=""328.1625""","=""328.1629601""","=""0.0000022""","=""55000r""","=""1.4e+08""","=""4.5e-01""","=""9.8e+00""","=""-0.04""",B,"=""0.0000000000""","=""3.77812896""","=""4d10.5s""","=""2S""","=""1/2""","=""4d10.5p""","=""2P*""","=""3/2""",2,4,,"=""T4515""","=""L11755""",
"=""330.66269921""","=""330.66269913""","=""0.00000007""","=""10w""","=""""","=""""","=""""","=""""",,"=""0.0000000000""","=""3.7495671196""","=""4d10.5s""","=""2S""","=""1/2""","=""4d9.5s2""","=""2D""","=""5/2""",2,6,E2,"=""""","=""L9025,L3326""",
"=""338.3858""","=""338.3859154""","=""0.0000016""","=""28000r""","=""1.3e+08""","=""2.2e-01""","=""5.0e+00""","=""-0.4""",B,"=""0.0000000000""","=""3.663988150""","=""4d10.5s""","=""2S""","=""1/2""","=""4d10.5p""","=""2P*""","=""1/2""",2,2,,"=""T4515""","=""L11755""",
"=""340.476""","=""340.478""","=""0.023""","=""10w""","=""""","=""""","=""""","=""""",,"=""7.354916""","=""10.99639""","=""4d9.5s.(3D).5p""","=""4F*""","=""5/2""","=""4d9.5s.(3D).5d""","=""2G""","=""7/2""",6,8,,"=""""","=""L3326""",
"=""347.015""","=""347.0159""","=""0.0012""","=""30""","=""""","=""""","=""""","=""""",,"=""4.304015538""","=""7.876884""","=""4d9.5s2""","=""2D""","=""3/2""","=""4d9.5s.(3D).5p""","=""2D*""","=""3/2""",4,4,,"=""""","=""L3326""",
"=""350.2923""","=""350.29238""","=""0.00006""","=""20""","=""""","=""""","=""""","=""""",,"=""3.7495671196""","=""7.2890160""","=""4d9.5s2""","=""2D""","=""5/2""","=""4d9.5s.(3D).5p""","=""4F*""","=""7/2""",6,8,,"=""""","=""L11755""",
"=""350.9028""","=""350.90286""","=""0.00009""","=""20""","=""""","=""""","=""""","=""""",,"=""3.663988150""","=""7.1972794""","=""4d10.5p""","=""2P*""","=""1/2""","=""4d10.8d""","=""2D""","=""3/2""",2,4,,"=""""","=""L11755""",
"=""351.4382""","=""351.429""","=""0.025""","=""15w""","=""""","=""""","=""""","=""""",,"=""7.302923""","=""10.83092""","=""4d9.5s.(3D).5p""","=""4F*""","=""9/2""","=""4d9.5s.(3D).5d""","=""4F""","=""9/2""",10,10,,"=""""","=""L3326""",
"=""352.2130""","=""352.21266""","=""0.00020""","=""10""","=""""","=""""","=""""","=""""",,"=""3.77812896""","=""7.2982806""","=""4d10.5p""","=""2P*""","=""3/2""","=""4d10.9d""","=""2D""","=""5/2""",4,6,,"=""""","=""L11755""",
"=""354.351""","=""354.35""","=""0.03""","=""50""","=""""","=""""","=""""","=""""",,"=""7.302923""","=""10.80184?""","=""4d9.5s.(3D).5p""","=""4F*""","=""9/2""","=""4d9.5s.(3D).5d""","=""4G""","=""11/2""",10,12,,"=""""","=""L2489""",
"=""354.817""","=""354.81""","=""0.03""","=""10w""","=""""","=""""","=""""","=""""",,"=""7.709567""","=""11.20393""","=""4d9.5s.(3D).5p""","=""4D*""","=""5/2""","=""4d9.5s.(3D).7s""","=""4D""","=""7/2""",6,8,,"=""""","=""L3326""",
"=""355.803""","=""355.79""","=""0.03""","=""10w""","=""""","=""""","=""""","=""""",,"=""7.2890160""","=""10.77374""","=""4d9.5s.(3D).5p""","=""4F*""","=""7/2""","=""4d9.5s.(3D).5d""","=""2G""","=""9/2""",8,10,,"=""""","=""L3326""",
"=""358.7703""","=""358.76987""","=""0.00010""","=""20""","=""""","=""""","=""""","=""""",,"=""3.663988150""","=""7.1198023""","=""4d10.5p""","=""2P*""","=""1/2""","=""4d10.9s""","=""2S""","=""1/2""",2,2,,"=""""","=""L11755""",
"=""362.439""","=""362.44""","=""0.03""","=""10w""","=""""","=""""","=""""","=""""",,"=""7.593071""","=""11.01390""","=""4d9.5s.(3D).5p""","=""4F*""","=""3/2""","=""4d9.5s.(3D).5d""","=""2D""","=""3/2""",4,4,,"=""""","=""L2489""",
"=""362.5723""","=""362.57208""","=""0.00011""","=""50""","=""""","=""""","=""""","=""""",,"=""3.77812896""","=""7.1977028""","=""4d10.5p""","=""2P*""","=""3/2""","=""4d10.8d""","=""2D""","=""5/2""",4,6,,"=""""","=""L11755""",
"=""368.3552""","=""368.35432""","=""0.00004""","=""30""","=""""","=""""","=""""","=""""",,"=""3.663988150""","=""7.0298832""","=""4d10.5p""","=""2P*""","=""1/2""","=""4d10.7d""","=""2D""","=""3/2""",2,4,,"=""""","=""L11755""",
"=""371.0247""","=""371.02430""","=""0.00011""","=""50""","=""""","=""""","=""""","=""""",,"=""3.77812896""","=""7.1198023""","=""4d10.5p""","=""2P*""","=""3/2""","=""4d10.9s""","=""2S""","=""1/2""",4,2,,"=""""","=""L11755""",
"=""372.848""","=""372.85""","=""0.03""","=""10w""","=""""","=""""","=""""","=""""",,"=""7.658891""","=""10.98422""","=""4d9.5s.(3D).5p""","=""4D*""","=""7/2""","=""4d9.5s.(3D).5d""","=""4G""","=""9/2""",8,10,,"=""""","=""L3326""",
"=""375.421""","=""375.42""","=""0.03""","=""20w""","=""""","=""""","=""""","=""""",,"=""7.709567""","=""11.01210""","=""4d9.5s.(3D).5p""","=""4D*""","=""5/2""","=""4d9.5s.(3D).5d""","=""4F""","=""7/2""",6,8,,"=""""","=""L3326""",
"=""381.2023""","=""381.20213""","=""0.00003""","=""200""","=""""","=""""","=""""","=""""",,"=""3.77812896""","=""7.03058187""","=""4d10.5p""","=""2P*""","=""3/2""","=""4d10.7d""","=""2D""","=""5/2""",4,6,,"=""""","=""L11755""",
"=""381.2855""","=""381.28404""","=""0.00004""","=""50""","=""""","=""""","=""""","=""""",,"=""3.77812896""","=""7.0298832""","=""4d10.5p""","=""2P*""","=""3/2""","=""4d10.7d""","=""2D""","=""3/2""",4,4,,"=""""","=""L11755""",
"=""384.1839""","=""384.18408""","=""0.00004""","=""100""","=""""","=""""","=""""","=""""",,"=""3.663988150""","=""6.8911962""","=""4d10.5p""","=""2P*""","=""1/2""","=""4d10.8s""","=""2S""","=""1/2""",2,2,,"=""""","=""L11755""",
"=""384.8937""","=""384.89383""","=""0.00006""","=""20""","=""""","=""""","=""""","=""""",,"=""3.7495671196""","=""6.9708242""","=""4d9.5s2""","=""2D""","=""5/2""","=""4d9.5s.(3D).5p""","=""4P*""","=""5/2""",6,6,,"=""""","=""L11755""",
"=""390.852""","=""390.87""","=""0.03""","=""50w""","=""""","=""""","=""""","=""""",,"=""7.658891""","=""10.83092""","=""4d9.5s.(3D).5p""","=""4D*""","=""7/2""","=""4d9.5s.(3D).5d""","=""4F""","=""9/2""",8,10,,"=""""","=""L3326""",
"=""391.551""","=""391.55""","=""0.03""","=""50w""","=""""","=""""","=""""","=""""",,"=""7.658891""","=""10.82537""","=""4d9.5s.(3D).5p""","=""4D*""","=""7/2""","=""4d9.5s.(3D).5d""","=""4D""","=""7/2""",8,8,,"=""""","=""L3326""",
"=""392.864""","=""392.87""","=""0.03""","=""6w""","=""""","=""""","=""""","=""""",,"=""7.658891""","=""10.81478?""","=""4d9.5s.(3D).5p""","=""4D*""","=""7/2""","=""4d9.5s.(3D).5d""","=""2F""","=""7/2""",8,8,,"=""""","=""L2489""",
