property,value,unit,energy,particle_or_photon,isotope,transition,process,source,source_url,retrieved_at,notes,experimental_energy_ev,theoretical_energy_ev
mass_attenuation_coefficient,1693,cm²/g,0.0033019 MeV,fotón,natural,,atenuación total,NIST X-Ray Mass Attenuation Coefficients,https://physics.nist.gov/PhysRefData/XrayMassCoef/ElemTab/z84.html,2026-07-24T20:02:08+00:00,Tabla elemental NIST.,,
mass_energy_absorption_coefficient,1645,cm²/g,0.0033019 MeV,fotón,natural,,absorción de energía,NIST X-Ray Mass Attenuation Coefficients,https://physics.nist.gov/PhysRefData/XrayMassCoef/ElemTab/z84.html,2026-07-24T20:02:08+00:00,Tabla elemental NIST.,,
mass_attenuation_coefficient,0.0033019,cm²/g,3 MeV,fotón,natural,M3,atenuación total,NIST X-Ray Mass Attenuation Coefficients,https://physics.nist.gov/PhysRefData/XrayMassCoef/ElemTab/z84.html,2026-07-24T20:02:08+00:00,Tabla elemental NIST; borde de absorción M3.,,
mass_energy_absorption_coefficient,1956,cm²/g,3 MeV,fotón,natural,M3,absorción de energía,NIST X-Ray Mass Attenuation Coefficients,https://physics.nist.gov/PhysRefData/XrayMassCoef/ElemTab/z84.html,2026-07-24T20:02:08+00:00,Tabla elemental NIST; borde de absorción M3.,,
mass_attenuation_coefficient,1622,cm²/g,0.00356733 MeV,fotón,natural,,atenuación total,NIST X-Ray Mass Attenuation Coefficients,https://physics.nist.gov/PhysRefData/XrayMassCoef/ElemTab/z84.html,2026-07-24T20:02:08+00:00,Tabla elemental NIST.,,
mass_energy_absorption_coefficient,1576,cm²/g,0.00356733 MeV,fotón,natural,,absorción de energía,NIST X-Ray Mass Attenuation Coefficients,https://physics.nist.gov/PhysRefData/XrayMassCoef/ElemTab/z84.html,2026-07-24T20:02:08+00:00,Tabla elemental NIST.,,
mass_attenuation_coefficient,1339,cm²/g,0.0038541 MeV,fotón,natural,,atenuación total,NIST X-Ray Mass Attenuation Coefficients,https://physics.nist.gov/PhysRefData/XrayMassCoef/ElemTab/z84.html,2026-07-24T20:02:08+00:00,Tabla elemental NIST.,,
mass_energy_absorption_coefficient,1303,cm²/g,0.0038541 MeV,fotón,natural,,absorción de energía,NIST X-Ray Mass Attenuation Coefficients,https://physics.nist.gov/PhysRefData/XrayMassCoef/ElemTab/z84.html,2026-07-24T20:02:08+00:00,Tabla elemental NIST.,,
mass_attenuation_coefficient,0.0038541,cm²/g,2 MeV,fotón,natural,M2,atenuación total,NIST X-Ray Mass Attenuation Coefficients,https://physics.nist.gov/PhysRefData/XrayMassCoef/ElemTab/z84.html,2026-07-24T20:02:08+00:00,Tabla elemental NIST; borde de absorción M2.,,
mass_energy_absorption_coefficient,1419,cm²/g,2 MeV,fotón,natural,M2,absorción de energía,NIST X-Ray Mass Attenuation Coefficients,https://physics.nist.gov/PhysRefData/XrayMassCoef/ElemTab/z84.html,2026-07-24T20:02:08+00:00,Tabla elemental NIST; borde de absorción M2.,,
mass_attenuation_coefficient,1299,cm²/g,0.004 MeV,fotón,natural,,atenuación total,NIST X-Ray Mass Attenuation Coefficients,https://physics.nist.gov/PhysRefData/XrayMassCoef/ElemTab/z84.html,2026-07-24T20:02:08+00:00,Tabla elemental NIST.,,
mass_energy_absorption_coefficient,1264,cm²/g,0.004 MeV,fotón,natural,,absorción de energía,NIST X-Ray Mass Attenuation Coefficients,https://physics.nist.gov/PhysRefData/XrayMassCoef/ElemTab/z84.html,2026-07-24T20:02:08+00:00,Tabla elemental NIST.,,
mass_attenuation_coefficient,1190,cm²/g,0.0041494 MeV,fotón,natural,,atenuación total,NIST X-Ray Mass Attenuation Coefficients,https://physics.nist.gov/PhysRefData/XrayMassCoef/ElemTab/z84.html,2026-07-24T20:02:08+00:00,Tabla elemental NIST.,,
