obs_wl_vac(nm),ritz_wl_vac(nm),intens,Aki(s^-1),fik,S(a.u.),log_gf,Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,column_22
"=""365.544""","=""365.5445+""","=""310""","=""""","=""""","=""""","=""""",,"=""2.013520""","=""5.405287""","=""4d7.(a 2H).5s""","=""a 3H""","=""5""","=""4d7.(a 2H).5p""","=""y 1H*""","=""5""",11,11,,"=""""","=""L3475""",
"=""366.239""","=""366.2405+""","=""6200""","=""""","=""""","=""""","=""""",,"=""0.147621""","=""3.532942""","=""4d7.(a 4F).5s""","=""a 5F""","=""4""","=""4d7.(a 4F).5p""","=""z 3G*""","=""5""",9,11,,"=""""","=""L3475""",
"=""366.441""","=""366.4416+""","=""830""","=""""","=""""","=""""","=""""",,"=""0.927782""","=""4.311247""","=""4d6.5s2""","=""a 5D""","=""4""","=""4d6.5s.(a 6D).5p""","=""y 5F*""","=""5""",9,11,,"=""""","=""L3475""",
"=""367.0591""","=""367.0586+""","=""650""","=""""","=""""","=""""","=""""",,"=""1.513481""","=""4.891258""","=""4d7.(a 2G).5s""","=""a 3G""","=""5""","=""4d7.(a 2G).5p""","=""y 3G*""","=""5""",11,11,,"=""""","=""L16319""",
"=""367.937""","=""367.9357+""","=""240""","=""""","=""""","=""""","=""""",,"=""0.336399""","=""3.706123""","=""4d7.(a 4F).5s""","=""a 5F""","=""2""","=""4d6.5s.(a 6D).5p""","=""z 7F*""","=""3""",5,7,,"=""""","=""L3475""",
"=""369.764""","=""369.7633+""","=""260""","=""""","=""""","=""""","=""""",,"=""1.317150""","=""4.670219""","=""4d7.(a 2P).5s""","=""a 3P""","=""2""","=""4d7.(a 4P).5p""","=""x 5D*""","=""2""",5,5,,"=""""","=""L3475""",
"=""371.806""","=""371.8062+""","=""410""","=""""","=""""","=""""","=""""",,"=""1.063217""","=""4.397862""","=""4d6.5s2""","=""a 5D""","=""3""","=""4d6.5s.(a 6D).5p""","=""y 5F*""","=""4""",7,9,,"=""""","=""L3475""",
"=""372.039""","=""372.0388+""","=""260""","=""""","=""""","=""""","=""""",,"=""2.119742""","=""5.452303""","=""4d7.(a 2H).5s""","=""a 3H""","=""4""","=""4d7.(a 2H).5p""","=""x 3G*""","=""3""",9,7,,"=""""","=""L3475""",
"=""372.716""","=""372.7153+""","=""550""","=""""","=""""","=""""","=""""",,"=""1.513481""","=""4.839993""","=""4d7.(a 2G).5s""","=""a 3G""","=""5""","=""4d7.(a 2G).5p""","=""z 1G*""","=""4""",11,9,,"=""""","=""L3475""",
"=""372.799""","=""372.7984+""","=""8700""","=""7.53e+07""","=""1.57e-01""","=""1.73e+01""","=""0.150""",,"=""0.147621""","=""3.473391""","=""4d7.(a 4F).5s""","=""a 5F""","=""4""","=""4d7.(a 4F).5p""","=""z 5F*""","=""4""",9,9,,"=""T6131""","=""L3475""",
"=""372.909""","=""372.9085+""","=""11000""","=""8.20e+07""","=""1.71e-01""","=""2.31e+01""","=""0.274""",,"=""0.000000""","=""3.324789""","=""4d7.(a 4F).5s""","=""a 5F""","=""5""","=""4d7.(a 4F).5p""","=""z 5F*""","=""5""",11,11,,"=""T6131""","=""L3475""",
"=""373.149""","=""373.1492+""","=""7100""","=""7.06e+07""","=""1.47e-01""","=""1.27e+01""","=""0.014""",,"=""0.259318""","=""3.581962""","=""4d7.(a 4F).5s""","=""a 5F""","=""3""","=""4d7.(a 4F).5p""","=""z 5F*""","=""3""",7,7,,"=""T6131""","=""L3475""",
"=""373.846""","=""373.8460+""","=""280""","=""""","=""""","=""""","=""""",,"=""1.123004""","=""4.439455""","=""4d6.5s2""","=""a 5D""","=""2""","=""4d6.5s.(a 6D).5p""","=""y 5F*""","=""3""",5,7,,"=""""","=""L3475""",
"=""374.052""","=""374.0533+""","=""410""","=""""","=""""","=""""","=""""",,"=""1.698468""","=""5.013082""","=""4d7.(a 2G).5s""","=""a 3G""","=""3""","=""4d7.(a 2G).5p""","=""y 3F*""","=""2""",7,5,,"=""""","=""L3475""",
"=""374.334""","=""374.3344+""","=""3500""","=""""","=""""","=""""","=""""",,"=""0.336399""","=""3.648523""","=""4d7.(a 4F).5s""","=""a 5F""","=""2""","=""4d7.(a 4F).5p""","=""z 5F*""","=""2""",5,5,,"=""""","=""L3475""",
"=""374.384""","=""374.3864+""","=""870""","=""""","=""""","=""""","=""""",,"=""1.927974""","=""5.239638""","=""4d7.(a 2H).5s""","=""a 3H""","=""6""","=""4d7.(a 2H).5p""","=""z 3I*""","=""7""",13,15,,"=""""","=""L3475""",
"=""374.528""","=""374.5287+""","=""280""","=""""","=""""","=""""","=""""",,"=""1.087457""","=""4.397862""","=""4d7.(a 4P).5s""","=""a 5P""","=""3""","=""4d6.5s.(a 6D).5p""","=""y 5F*""","=""4""",7,9,,"=""""","=""L3475""",
"=""374.546""","=""374.5460+""","=""410""","=""""","=""""","=""""","=""""",,"=""2.013520""","=""5.323772""","=""4d7.(a 2H).5s""","=""a 3H""","=""5""","=""4d7.(a 2H).5p""","=""x 3G*""","=""4""",11,9,,"=""""","=""L3475""",
"=""374.665""","=""374.6658+""","=""2800""","=""""","=""""","=""""","=""""",,"=""1.513481""","=""4.822675""","=""4d7.(a 2G).5s""","=""a 3G""","=""5""","=""4d7.(a 2G).5p""","=""z 3H*""","=""6""",11,13,,"=""""","=""L3475""",
"=""375.461""","=""375.4604+""","=""760""","=""""","=""""","=""""","=""""",,"=""1.589067""","=""4.891258""","=""4d7.(a 2G).5s""","=""a 3G""","=""4""","=""4d7.(a 2G).5p""","=""y 3G*""","=""5""",9,11,,"=""""","=""L3475""",
"=""375.616""","=""375.6156+""","=""310""","=""""","=""""","=""""","=""""",,"=""1.138629""","=""4.439455""","=""4d7.(a 4F).5s""","=""a 3F""","=""2""","=""4d6.5s.(a 6D).5p""","=""y 5F*""","=""3""",5,7,,"=""""","=""L3475""",
"=""375.700""","=""375.6996+""","=""870""","=""""","=""""","=""""","=""""",,"=""1.589067""","=""4.889156""","=""4d7.(a 2G).5s""","=""a 3G""","=""4""","=""4d7.(a 2G).5p""","=""y 3F*""","=""3""",9,7,,"=""""","=""L3475""",
"=""376.091""","=""376.0906+""","=""1200""","=""""","=""""","=""""","=""""",,"=""0.927782""","=""4.224440""","=""4d6.5s2""","=""a 5D""","=""4""","=""4d6.5s.(a 6D).5p""","=""z 5P*""","=""3""",9,7,,"=""""","=""L3475""",
"=""376.110""","=""376.1084+""","=""370""","=""""","=""""","=""""","=""""",,"=""0.385032""","=""3.681533""","=""4d7.(a 4F).5s""","=""a 5F""","=""1""","=""4d7.(a 4F).5p""","=""z 5F*""","=""1""",3,3,,"=""""","=""L3475""",
"=""376.258""","=""376.2575+""","=""600""","=""""","=""""","=""""","=""""",,"=""1.698468""","=""4.993663""","=""4d7.(a 2G).5s""","=""a 3G""","=""3""","=""4d7.(a 2G).5p""","=""y 3G*""","=""4""",7,9,,"=""""","=""L3475""",
"=""376.842""","=""376.8420+""","=""600""","=""""","=""""","=""""","=""""",,"=""1.698468""","=""4.988553""","=""4d7.(a 2G).5s""","=""a 3G""","=""3""","=""4d7.(a 2G).5p""","=""y 3G*""","=""3""",7,7,,"=""""","=""L3475""",
"=""377.866""","=""377.8660+""","=""1500""","=""""","=""""","=""""","=""""",,"=""0.385032""","=""3.666200""","=""4d7.(a 4F).5s""","=""a 5F""","=""1""","=""4d7.(a 4F).5p""","=""z 5D*""","=""0""",3,1,,"=""""","=""L3475""",
"=""378.225""","=""378.2243+""","=""460""","=""""","=""""","=""""","=""""",,"=""2.486591""","=""5.764652""","=""4d7.(a 2H).5s""","=""a 1H""","=""5""","=""4d6.5s.(b 2H).5p?""","=""x 1H*""","=""5""",11,11,,"=""""","=""L3475""",
"=""378.381""","=""378.3810+""","=""600""","=""""","=""""","=""""","=""""",,"=""3.383435""","=""6.660137""","=""4d7.(a 2F).5s?""","=""d 3F""","=""4""","=""""","=""62*""","=""4""",9,9,,"=""""","=""L3475""",
"=""378.714""","=""378.7126+""","=""3900""","=""""","=""""","=""""","=""""",,"=""0.336399""","=""3.610233""","=""4d7.(a 4F).5s""","=""a 5F""","=""2""","=""4d7.(a 4F).5p""","=""z 5D*""","=""1""",5,3,,"=""""","=""L3475""",
"=""379.159""","=""379.1591+""","=""6000""","=""""","=""""","=""""","=""""",,"=""0.259318""","=""3.529296""","=""4d7.(a 4F).5s""","=""a 5F""","=""3""","=""4d7.(a 4F).5p""","=""z 5D*""","=""2""",7,5,,"=""""","=""L3475""",
"=""379.600""","=""379.5991+""","=""240*""","=""""","=""""","=""""","=""""",,"=""1.192764""","=""4.458952""","=""4d7.(a 4P).5s""","=""a 5P""","=""1""","=""4d6.5s.(a 6D).5p""","=""y 5F*""","=""2""",3,5,,"=""""","=""L3475""",
"=""379.600""","=""379.6046+""","=""240*""","=""""","=""""","=""""","=""""",,"=""2.007380""","=""5.273520""","=""4d7.(a 2D).5s""","=""a 3D""","=""3""","=""4d7.(a 2D).5p""","=""w 3D*""","=""2""",7,5,,"=""""","=""L3475""",
"=""379.913""","=""379.9128+""","=""760""","=""""","=""""","=""""","=""""",,"=""0.385032""","=""3.648523""","=""4d7.(a 4F).5s""","=""a 5F""","=""1""","=""4d7.(a 4F).5p""","=""z 5F*""","=""2""",3,5,,"=""""","=""L3475""",
"=""379.998""","=""379.9977+""","=""7600""","=""5.98e+07""","=""1.01e-01""","=""1.13e+01""","=""-0.043""",,"=""0.147621""","=""3.410383""","=""4d7.(a 4F).5s""","=""a 5F""","=""4""","=""4d7.(a 4F).5p""","=""z 5D*""","=""3""",9,7,,"=""T6131""","=""L3475""",
